District,Crop Loan,Forestry and Wasteland Dev,Water Resource,Farm Mechanization,Plantation & Horticulture,Animal Husbandry,Fishery,Farm Credit Others,Agri. Infrastructure,Ancillary Activities,Total Agri Disbursement
Anjaw,94,0,0,0,0,0,0,18,0,1,113
Changlang,464,0,0,3,78,4,3,86,0,1,639
Dibang Valley,27,0,0,0,0,0,0,0,0,0,27
East Kameng,155,0,0,0,36,12,0,2,0,0,205
East Siang,294,0,0,39,70,10,6,264,0,11,694
Kamle,154,0,0,0,0,0,0,11,0,0,165
Kra Daadi,224,0,0,0,137,2,4,82,0,1,450
Kurung Kumey,195,0,0,0,0,0,0,12,0,0,207
Lepa Rada,124,0,0,1,50,1,1,90,0,0,267
Lohit,542,0,0,1,13,3,0,13,0,0,572
Longding,552,0,0,0,0,0,0,27,0,2,581
Lower Dibang Valley,135,0,0,5,26,4,7,47,0,0,224
Lower Siang,84,0,0,0,129,10,3,36,0,1,263
Lower Subansiri,262,0,0,3,273,7,7,69,0,1,622
Namsai,509,0,0,9,11,6,5,318,2,1,861
Pakke Kessang,110,0,0,0,0,0,0,5,0,1,116
Papum Pare,316,1,1,131,49,8,9,156,2,72,745
Shi Yomi,0,0,0,0,0,0,0,0,0,0,0
Siang,76,0,0,0,83,4,0,52,0,0,215
Tawang,186,0,0,0,0,0,0,74,0,0,260
Tirap,615,0,0,0,0,0,0,5,0,0,620
Upper Siang,88,0,0,0,134,1,0,122,0,0,345
Upper Subansiri,341,0,0,0,80,9,9,21,0,1,461
West Kameng,477,0,0,0,0,1,0,62,0,3,543
West Siang,124,0,0,1,190,6,5,95,1,2,424
