District,Dep Rural,Dep Semi-Urban,Dep Urban,Total Deposit,Adv Rural,Adv Semi-Urban,Adv Urban,Total Advances,Cdr Rural,Cdr Semi-Urban,Overall CD Ratio
Anjaw,14274.58,0.0,0.0,14274.58,4307.56,0.0,0.0,4307.56,30.18,,30.18
Changlang,80993.15,2987.1,0.0,83980.25,29352.39,1737.78,0.0,31090.17,36.24,58.18,37.02
Dibang Valley,22092.96,1658.38,0.0,23751.34,3651.44,308.63,0.0,3960.07,16.53,18.61,16.67
East Kameng,282.67,25243.82,0.0,25526.49,420.16,21305.38,0.0,21725.54,148.64,84.4,85.11
East Siang,38951.81,134961.9,0.0,173913.71,10748.37,62685.24,0.0,73433.61,27.59,46.45,42.22
Kamle,3380.25,0.0,0.0,3380.25,2465.47,0.0,0.0,2465.47,72.94,,72.94
Kra Daadi,6807.61,0.0,0.0,6807.61,5845.8,0.0,0.0,5845.8,85.87,,85.87
Kurung Kumey,8132.09,3498.2,0.0,11630.29,5839.61,2057.84,0.0,7897.45,71.81,58.83,67.9
Lepa Rada,33165.39,1770.96,0.0,34936.35,12082.73,1395.59,0.0,13478.32,36.43,78.8,38.58
Lohit,12698.78,43691.5,0.0,56390.28,5804.61,20858.99,0.0,26663.6,45.71,47.74,47.28
Longding,17371.32,0.0,0.0,17371.32,13467.27,0.0,0.0,13467.27,77.53,,77.53
Lower Dibang Valley,2286.88,76918.87,0.0,79205.75,560.56,23887.97,0.0,24448.53,24.51,31.06,30.87
Lower Siang,27240.98,0.0,0.0,27240.98,16639.57,0.0,0.0,16639.57,61.08,,61.08
Lower Subansiri,15732.46,73466.53,0.0,89198.99,9104.68,37122.64,0.0,46227.32,57.87,50.53,51.82
Namsai,27211.23,46280.21,0.0,73491.44,12377.72,19964.97,0.0,32342.69,45.49,43.14,44.01
Pakke Kessang,3470.61,0.0,0.0,3470.61,3616.16,0.0,0.0,3616.16,104.19,,104.19
Papum Pare,117733.95,1170412.66,0.0,1288146.61,67029.91,447933.35,0.0,514963.26,56.93,38.27,39.98
Shi Yomi,12007.94,2417.73,0.0,14425.67,1146.33,316.56,0.0,1462.89,9.55,13.09,10.14
Siang,14152.24,0.0,0.0,14152.24,4682.72,0.0,0.0,4682.72,33.09,,33.09
Tawang,37750.27,148035.69,0.0,185785.96,6596.88,18071.76,0.0,24668.64,17.48,12.21,13.28
Tirap,34546.16,2333.45,0.0,36879.61,18734.46,1462.28,0.0,20196.74,54.23,62.67,54.76
Upper Siang,39692.28,2896.72,0.0,42589.0,8985.6,669.21,0.0,9654.81,22.64,23.1,22.67
Upper Subansiri,18224.67,33139.83,0.0,51364.5,7176.68,26334.41,0.0,33511.09,39.38,79.46,65.24
West Kameng,137770.66,467.41,0.0,138238.07,55283.3,2149.36,0.0,57432.66,40.13,459.84,41.55
West Siang,10763.84,90488.48,0.0,101252.32,2581.01,39642.85,0.0,42223.86,23.98,43.81,41.7
