District,Agriculture NPS,Education NPS,Housing NPS,Personal Loan,Other NPS,Total NPS NPA
Anjaw,0,0,0,1,7,8
Changlang,0,0,0,18,74,92
Dibang Valley,0,0,0,21,13,34
East Kameng,0,0,0,14,93,107
East Siang,0,0,0,56,307,363
Kamle,0,0,0,0,4,4
Kra Daadi,0,0,0,1,10,11
Kurung Kumey,0,0,0,14,20,34
Lepa Rada,0,0,0,33,51,84
Lohit,0,0,0,11,37,48
Longding,0,0,0,4,50,54
Lower Dibang Valley,0,0,0,8,65,73
Lower Siang,0,0,0,2,30,32
Lower Subansiri,0,0,0,64,276,340
Namsai,0,0,2,43,121,166
Pakke Kessang,0,0,0,0,2,2
Papum Pare,0,0,21,496,1452,1969
Shi Yomi,0,0,1,10,11,22
Siang,0,0,0,2,18,20
Tawang,0,0,1,40,46,87
Tirap,0,0,0,6,30,36
Upper Siang,0,0,0,19,51,70
Upper Subansiri,0,0,0,14,140,154
West Kameng,0,0,1,25,136,162
West Siang,0,0,0,29,96,125
