District,During the Quarter Savings Linked,During the Quarter Credit Linked,Current FY Savings Linked,Current FY Credit Linked,SHG O/S,SHG NPA,SHG NPA Amt. %
Anjaw,223,0,223,0,0,0,0
Changlang,1333,23,1333,26,38,13,0.13
Dibang Valley,30,0,30,0,0,0,0
East Kameng,199,5,200,5,8,0,0
East Siang,163,66,113,41,77,3,0
Kamle,85,0,85,0,0,0,0
Kra Daadi,242,13,238,11,13,0,0
Kurung Kumey,128,2,128,2,7,0,0
Lepa Rada,165,36,139,22,39,0,0
Lohit,220,49,183,19,163,1,0
Longding,711,1,711,1,2,27,1.55
Lower Dibang Valley,48,21,20,16,25,1,0.02
Lower Siang,67,29,22,7,30,1,2.7
Lower Subansiri,277,140,88,25,171,3,1.75
Namsai,143,59,145,39,130,2,6.01
Pakke Kessang,112,2,112,2,2,0,0
Papum Pare,618,139,473,35,229,70,22.51
Shi Yomi,4,0,4,0,4,1,22.46
Siang,168,29,139,14,29,0,0
Tawang,257,5,257,5,7,1,0.39
Tirap,806,2,806,2,2,0,0
Upper Siang,58,8,56,6,10,0,0
Upper Subansiri,433,114,310,39,125,2,0.03
West Kameng,462,51,461,54,79,2,5.16
West Siang,76,34,53,22,41,5,0
