district,Sishu,Kishore,Tarun,Total Mudra,MUDRA NPA Amt.%
Anjaw,6,225,33,264,3.15
Changlang,461,924,64,1449,2.96
Dibang Valley,6,125,13,144,0
East Kameng,110,246,84,440,7.87
East Siang,217,900,307,1424,5.62
Kamle,21,328,50,399,10.23
Kra Daadi,294,366,62,722,10.44
Kurung Kumey,134,401,40,575,6.4
Lepa Rada,104,314,41,459,3.62
Lohit,201,661,72,934,4.93
Longding,267,917,37,1221,7.19
Lower Dibang Valley,164,405,110,679,2.18
Lower Siang,56,377,34,467,9.29
Lower Subansiri,363,758,202,1323,8.92
Namsai,1492,887,120,2499,6.83
Pakke Kessang,81,369,7,457,1.81
Papum Pare,1189,1915,1225,4329,16.88
Shi Yomi,3,9,12,24,21.98
Siang,41,167,21,229,8.35
Tawang,123,545,181,849,5.46
Tirap,263,775,37,1075,3.12
Upper Siang,74,354,30,458,0.6
Upper Subansiri,160,402,144,706,13.79
West Kameng,314,935,309,1558,6.1
West Siang,236,594,151,981,6.49
