district,Rural No,Urban No,Male No,Female No,Total PMJDY No.,No of Zero Balance A/c,Amt Deposits held in the A/c,No of Rupay Card Issued,No of Rupay Card Activated,No of Aadhaar Seeded
Anjaw,1456,0,653,803,1456,43,129.76,1221,279,822
Changlang,46635,746,21329,26047,47376,2603,1813.64,41400,7284,16321
Dibang Valley,415,30,250,195,445,25,185.19,310,8,279
East Kameng,4585,9669,6369,7883,14252,1100,2708.39,9939,3620,7794
East Siang,42042,25359,31634,36418,68052,10209,3166.8,46500,8102,28409
Kamle,1342,0,516,826,1342,15,136.72,1169,34,915
Kra Daadi,2831,0,1062,1767,2829,29,204.84,3174,276,1439
Kurung Kumey,2832,809,1668,1972,3640,562,407.64,3090,752,1512
Lepa Rada,3407,444,1943,1905,3848,292,251.43,2302,1224,1809
Lohit,5661,6611,5535,6736,12271,1145,701.11,9305,3127,6607
Longding,10224,0,3380,6843,10223,223,511.8,8729,2291,6563
Lower Dibang Valley,4254,10049,6831,7472,14303,1155,724.62,12084,2273,7883
Lower Siang,38862,0,19191,19669,38860,10225,809.94,14913,5592,13996
Lower Subansiri,6100,5269,5056,6305,11361,493,3356.84,9006,2430,5123
Namsai,14701,19956,15005,19649,34654,2625,1540.19,28349,8198,24550
Pakke Kessang,494,0,258,236,494,6,19.9,248,8,322
Papum Pare,29406,25032,27991,33087,61078,5159,3519.7,46082,23439,33080
Shi Yomi,1503,0,701,802,1503,119,430.13,1730,359,550
Siang,4914,0,2618,2294,4912,123,578.06,2663,1096,2278
Tawang,4057,1763,3116,2702,5818,467,889.88,4364,1979,3447
Tirap,14688,0,6043,8639,14682,556,1198.77,13801,3399,8561
Upper Siang,4321,239,2132,2428,4560,223,553.42,1444,198,3141
Upper Subansiri,5805,13613,8977,10431,19408,2045,3258.79,14854,3621,10281
West Kameng,15073,47,6977,8142,15119,766,1803.53,11521,2715,7810
West Siang,4376,9804,8177,8126,16303,1228,1467.45,9008,1916,7813
