district,KCCs for AH and Allied Activities,Farm Production,Dairy,Farm Mechanisation,Poultry,Fisheries,Godown,Clinic,Other,Total IC-Agri O/S
Anjaw,0,0,3,1,6,10,0,0,0,20
Changlang,46,0,12,26,17,59,0,0,1,161
Dibang Valley,0,0,3,1,5,2,0,0,0,11
East Kameng,3,0,3,29,1,22,0,0,21,79
East Siang,18,0,4,73,23,38,0,0,85,241
Kamle,1,0,3,0,5,0,0,0,0,9
Kra Daadi,0,0,6,4,7,23,0,0,9,49
Kurung Kumey,0,0,4,1,7,50,0,0,0,62
Lepa Rada,0,0,3,9,7,8,0,0,1,28
Lohit,60,0,7,17,9,37,0,0,7,137
Longding,22,0,7,6,15,38,0,0,0,88
Lower Dibang Valley,4,0,5,51,1,41,0,0,7,109
Lower Siang,1,0,6,15,1,12,0,0,23,58
Lower Subansiri,6,0,7,6,14,67,0,0,53,153
Namsai,15,0,20,102,163,65,0,0,47,412
Pakke Kessang,0,0,1,0,2,28,0,0,0,31
Papum Pare,164,0,33,120,156,107,5,0,392,977
Shi Yomi,0,0,0,0,0,0,0,0,0,0
Siang,0,0,3,2,2,7,0,0,4,18
Tawang,0,0,7,9,0,0,0,0,10,26
Tirap,1,0,9,0,17,89,0,0,0,116
Upper Siang,0,0,2,12,0,0,0,0,10,24
Upper Subansiri,6,0,8,13,8,18,0,0,28,81
West Kameng,41,0,12,9,9,5,0,0,40,116
West Siang,20,0,3,18,11,37,1,0,38,128
