District,O/S No.,O/S Amt.,CY Disb No.,CY Disb Amt.
Anjaw,375,1098.49,66,174.51
Changlang,2151,6737.03,528,1557.77
Dibang Valley,321,1160.51,34,196.64
East Kameng,1585,5974.85,392,1605.01
East Siang,6382,32044.3,2902,16842.19
Kamle,303,601.84,71,104.44
Kra Daadi,1098,2876.33,503,1759.61
Kurung Kumey,896,2178.1,158,350.29
Lepa Rada,1509,5846.73,829,3564.81
Lohit,3128,11108.04,1193,5695.37
Longding,1200,2920.93,301,727.76
Lower Dibang Valley,2220,7076.47,743,2421.5
Lower Siang,1441,5903.54,972,3637.4
Lower Subansiri,4909,21382.94,2598,12174.95
Namsai,3609,9876.48,1523,3635.16
Pakke Kessang,382,853.49,84,212.44
Papum Pare,26376,148493.84,8571,60059.82
Shi Yomi,217,462.88,10,53.22
Siang,833,3193.85,639,2427.39
Tawang,1163,5088.78,299,1562.54
Tirap,1606,4866.33,322,849.01
Upper Siang,1157,3192.69,697,1475.82
Upper Subansiri,3993,16154.82,2381,10200.55
West Kameng,2772,12008.09,751,3637.41
West Siang,3077,14503.45,1331,6985.37
