District,Export Credit,Education (PS),Housing (PS),Social Infrastructure,Renewable Energy,Informal Credit,Other Priority Sector Total,Loans to weaker
Anjaw,0,0,0,0,0,0,0,153
Changlang,0,7,1,0,0,24,32,693
Dibang Valley,0,0,0,0,0,0,0,36
East Kameng,0,0,1,0,0,2,3,160
East Siang,0,8,0,0,0,0,8,692
Kamle,0,0,0,0,0,0,0,196
Kra Daadi,0,0,0,0,0,0,0,351
Kurung Kumey,0,0,0,0,0,0,0,336
Lepa Rada,0,0,2,0,0,0,2,318
Lohit,0,4,0,0,0,0,4,642
Longding,0,3,0,0,0,0,3,693
Lower Dibang Valley,0,4,1,0,0,0,5,260
Lower Siang,0,2,4,0,0,0,6,182
Lower Subansiri,0,8,2,0,0,8,18,429
Namsai,0,7,1,0,0,424,432,1228
Pakke Kessang,0,0,0,0,0,0,0,145
Papum Pare,0,33,25,0,0,9,67,1452
Shi Yomi,0,0,0,0,0,0,0,11
Siang,0,0,0,0,0,0,0,160
Tawang,0,0,4,0,0,0,4,317
Tirap,0,1,0,0,0,0,1,611
Upper Siang,0,0,0,0,0,0,0,229
Upper Subansiri,0,1,1,0,0,0,2,429
West Kameng,0,2,2,0,0,0,4,657
West Siang,0,0,3,0,1,17,21,399
