district,Target(24-25) No.,Current Year Self-Help Group,NRLM O/S,NRLM Irregular A/C,NRLM NPA,NRLM NPA Amt. %
Anjaw,120,2,4,0,0,0
Changlang,420,2,6,1,0,0
Dibang Valley,25,0,0,0,0,0
East Kameng,50,2,2,0,0,0
East Siang,190,43,76,1,0,0
Kamle,40,0,1,0,0,0
Kra Daadi,40,77,144,18,0,0
Kurung Kumey,115,0,12,3,1,0.1
Lepa Rada,40,14,35,3,0,0
Lohit,66,48,47,0,0,0
Longding,180,0,0,0,0,0
Lower Dibang Valley,95,3,15,0,0,0
Lower Siang,105,5,29,2,1,3.17
Lower Subansiri,73,23,135,16,0,0
Namsai,305,55,109,3,2,3.6
Pakke Kessang,105,4,12,0,0,0
Papum Pare,411,79,216,20,53,18.09
Shi Yomi,60,0,0,0,0,0
Siang,215,14,32,2,1,0.04
Tawang,205,7,19,5,3,0.15
Tirap,190,2,2,0,0,0
Upper Siang,155,6,6,0,0,0
Upper Subansiri,205,47,107,4,1,0.01
West Kameng,340,18,40,6,3,0.04
West Siang,50,21,32,4,0,0
