District,Small and Marginal Farmers,Scheduled Caste,Scheduled Tribes,DRI Scheme,Self Help Groups,Women Beneficiaries,Minority Communities,PMJDY,Others,Total Weaker Section
Anjaw,483,1,543,0,1,112,2,0,5,1147
Changlang,1664,71,1420,0,38,336,543,1,42,4115
Dibang Valley,281,0,295,0,0,73,3,0,10,662
East Kameng,480,5,448,0,5,87,66,0,5,1096
East Siang,1469,32,1893,9,80,277,292,81,34,4167
Kamle,581,3,573,0,0,129,32,0,6,1324
Kra Daadi,952,8,421,0,15,313,761,0,150,2620
Kurung Kumey,606,2,26,0,5,158,659,0,33,1489
Lepa Rada,692,2,765,0,39,157,18,0,15,1688
Lohit,2149,18,2290,0,160,697,236,0,42,5592
Longding,1985,3,70,0,2,322,1961,0,29,4372
Lower Dibang Valley,908,61,810,0,23,200,456,0,18,2476
Lower Siang,648,3,680,0,30,94,83,0,7,1545
Lower Subansiri,1422,23,1080,1,146,270,727,57,63,3789
Namsai,2450,68,1443,0,49,1264,1130,0,82,6486
Pakke Kessang,304,9,534,0,2,195,75,0,13,1132
Papum Pare,6083,156,7012,52,190,1255,3748,211,1132,19839
Shi Yomi,5,0,20,0,0,0,13,0,1,39
Siang,300,0,347,0,29,56,2,0,13,747
Tawang,673,7,1041,0,8,90,1053,169,25,3066
Tirap,1628,5,1302,0,2,396,341,0,13,3687
Upper Siang,493,2,505,0,10,105,4,0,3,1122
Upper Subansiri,1190,11,1368,0,124,280,33,0,40,3046
West Kameng,1379,15,1931,15,77,378,1853,206,73,5927
West Siang,1132,10,1593,5,35,299,82,73,29,3258
