district,Farm Credit Crop,Farm Credit Term Loan,Agri Infra,Ancillary No,Agri Total
Anjaw,471,39,0,4,514
Changlang,1492,993,0,4,2489
Dibang Valley,292,51,0,0,343
East Kameng,519,2323,0,1,2843
East Siang,976,1476,0,20,2472
Kamle,546,53,0,0,599
Kra Daadi,890,292,0,2,1184
Kurung Kumey,611,578,0,2,1191
Lepa Rada,476,845,0,0,1321
Lohit,2098,926,0,109,3133
Longding,1989,90,0,2,2081
Lower Dibang Valley,786,952,0,1,1739
Lower Siang,479,283,0,1,763
Lower Subansiri,1386,2352,0,14,3752
Namsai,1959,1203,3,28,3193
Pakke Kessang,591,21,0,2,614
Papum Pare,5401,3333,2,125,8861
Shi Yomi,1,91,0,0,92
Siang,201,245,0,0,446
Tawang,585,252,0,1,838
Tirap,1763,1565,0,0,3328
Upper Siang,229,567,0,0,796
Upper Subansiri,1247,1308,0,6,2561
West Kameng,1511,1043,0,23,2577
West Siang,851,815,4,4,1674
