District,Farm Credit Crop,Farm Credit Term Loan,Agri Infra,Ancillary No.,Agri Total
Anjaw,70,1,0,1,72
Changlang,251,357,0,0,608
Dibang Valley,3,10,0,0,13
East Kameng,14,1398,0,1,1413
East Siang,163,702,0,3,868
Kamle,12,3,0,0,15
Kra Daadi,18,14,0,0,32
Kurung Kumey,3,25,0,0,28
Lepa Rada,38,455,0,0,493
Lohit,507,678,0,0,1185
Longding,166,33,0,1,200
Lower Dibang Valley,142,110,0,0,252
Lower Siang,32,0,0,0,32
Lower Subansiri,158,786,0,0,944
Namsai,318,402,0,13,733
Pakke Kessang,83,0,0,0,83
Papum Pare,3965,1736,2,15,5718
Shi Yomi,0,0,0,0,0
Siang,4,3,0,0,7
Tawang,9,23,0,0,32
Tirap,83,948,0,0,1031
Upper Siang,0,66,0,0,66
Upper Subansiri,175,702,0,0,877
West Kameng,58,753,0,1,812
West Siang,283,181,0,1,465
