district,CHRISTIANS,MUSLIMS,BUDDHISTS,SIKHS,ZORASTRIANS,JAINS,TOTAL LOAN TO MINORITY
Anjaw,3,0,4,0,0,0,7
Changlang,307,8,224,0,0,0,539
Dibang Valley,52,0,4,0,0,0,56
East Kameng,66,18,23,0,0,0,107
East Siang,116,41,15,2,0,0,174
Kamle,6,0,0,0,0,0,6
Kra Daadi,285,0,1,1,0,0,287
Kurung Kumey,500,2,2,0,0,0,504
Lepa Rada,34,3,5,0,0,0,42
Lohit,26,11,60,1,0,0,98
Longding,871,3,2,1,0,0,877
Lower Dibang Valley,158,1,6,0,0,0,165
Lower Siang,51,4,4,0,0,0,59
Lower Subansiri,323,26,11,1,0,0,361
Namsai,120,14,601,1,0,0,736
Pakke Kessang,40,1,1,2,0,0,44
Papum Pare,1766,153,267,8,0,0,2194
Shi Yomi,5,0,275,0,0,0,280
Siang,5,0,4,0,0,0,9
Tawang,4,12,525,1,0,0,542
Tirap,241,3,11,0,0,0,255
Upper Siang,30,0,3,0,0,0,33
Upper Subansiri,101,14,2,0,0,0,117
West Kameng,80,16,885,4,1,0,986
West Siang,58,6,39,0,0,0,103
