District,SC Disb No,SC Disb Amt,SC O/S No,SC O/S Amt,ST Disb No,ST Disb Amt,ST O/S No,ST O/S Amt
Anjaw,2,3.76,18,57.11,200,672.44,1002,3279.93
Changlang,28,174.38,214,860.18,926,3897.15,3954,15347.8
Dibang Valley,2,22.01,10,95.19,97,648.72,660,3039.16
East Kameng,3,28.65,30,132.95,298,1813.09,2564,10018.23
East Siang,25,133.08,172,828.56,1481,10058.02,8814,49689.78
Kamle,1,0.14,8,31.96,209,392.21,728,1686.64
Kra Daadi,4,23.16,16,56.34,255,919.76,1154,3713.78
Kurung Kumey,2,0.06,11,67.5,32,227.42,224,1213.18
Lepa Rada,2,7.03,11,48.79,517,2254.44,2321,9906.64
Lohit,15,195.96,89,467.67,849,4577.32,4668,16228.19
Longding,1,0.5,26,124.22,94,390.81,392,1831.63
Lower Dibang Valley,34,143.84,162,455.97,405,2434.34,2354,10250.15
Lower Siang,6,23.21,57,311.79,372,1987.43,1817,9794.76
Lower Subansiri,12,42.51,101,480.57,688,6374.21,4648,25253.91
Namsai,27,70.21,137,544.37,719,2902.8,3444,17678.46
Pakke Kessang,5,21.56,34,113.88,155,340.19,797,2013
Papum Pare,104,844.53,723,4659.7,4086,67314.66,30507,256842.62
Shi Yomi,0,0,5,13.46,29,246.71,160,921.26
Siang,1,1.06,6,18.05,250,967.79,1069,4042.31
Tawang,14,169.87,56,392.52,514,5464.71,2593,13121.46
Tirap,13,60.22,51,218.33,752,1933.56,3000,9316.06
Upper Siang,5,75.83,32,194.75,411,1999.65,1658,6305.76
Upper Subansiri,14,163.22,59,702.07,862,4829.89,4733,25599.3
West Kameng,19,228.23,119,756.29,1049,10442.91,5398,33307.41
West Siang,13,146.13,63,419.9,987,6834.13,6231,33051.79
