District,NRLM O/S,NRLM Irregular,NRLM NPA,NULM O/S,NULM NPA,PMEGP O/S,PMEGP NPA,SHG O/S,SHG NPA,SUI O/S,SUI NPA
Anjaw,4,0,0,0,0,3,1,0,0,6,1
Changlang,6,1,0,0,0,11,4,38,13,18,1
Dibang Valley,0,0,0,0,0,0,0,0,0,1,0
East Kameng,2,0,0,0,0,9,3,8,0,6,1
East Siang,76,1,0,1,0,21,13,77,3,13,0
Kamle,1,0,0,0,0,11,8,0,0,1,0
Kra Daadi,144,18,0,0,0,12,5,13,0,15,0
Kurung Kumey,12,3,1,0,0,21,10,7,0,26,2
Lepa Rada,35,3,0,0,0,12,2,39,0,36,1
Lohit,47,0,0,1,0,10,1,163,1,18,0
Longding,0,0,0,0,0,6,3,2,27,7,1
Lower Dibang Valley,15,0,0,1,0,6,2,25,1,8,0
Lower Siang,29,2,1,0,0,11,6,30,1,47,2
Lower Subansiri,135,16,0,1,0,84,38,171,3,17,1
Namsai,109,3,2,0,0,50,44,130,2,25,0
Pakke Kessang,12,0,0,0,0,4,0,2,0,1,0
Papum Pare,216,20,53,3,2,644,199,229,70,79,4
Shi Yomi,0,0,0,0,0,7,4,4,1,10,0
Siang,32,2,1,0,0,7,5,29,0,16,0
Tawang,19,5,3,0,0,26,2,7,1,61,5
Tirap,2,0,0,0,0,6,1,2,0,6,0
Upper Siang,6,0,0,0,0,7,0,10,0,7,0
Upper Subansiri,107,4,1,0,0,60,44,125,2,5,0
West Kameng,40,6,3,1,0,68,11,79,2,80,2
West Siang,32,4,0,0,0,27,12,41,5,17,1
