district,Agriculture NPS,Education NPS,Housing NPS,Personal Loan,Other NPS,Total NPS O/S,Total NPS NPA
Anjaw,0,0,0,101,581,682,8
Changlang,0,0,24,1151,4134,5309,92
Dibang Valley,0,0,0,61,505,566,34
East Kameng,0,0,195,630,2587,3412,107
East Siang,1,3,241,2767,9260,12272,363
Kamle,0,0,4,54,206,264,4
Kra Daadi,0,0,3,155,461,619,11
Kurung Kumey,0,0,6,139,916,1061,34
Lepa Rada,0,0,92,445,1395,1932,84
Lohit,1,1,22,1107,3384,4515,48
Longding,0,0,20,352,1772,2144,54
Lower Dibang Valley,6,0,11,841,3856,4714,73
Lower Siang,0,0,230,314,1470,2014,32
Lower Subansiri,0,2,130,1517,4615,6264,340
Namsai,1,1,37,991,3698,4728,166
Pakke Kessang,0,0,6,115,407,528,2
Papum Pare,4,16,2464,12881,35567,50932,1969
Shi Yomi,0,0,2,22,212,236,22
Siang,0,0,4,187,472,663,20
Tawang,3,0,38,773,3541,4355,87
Tirap,0,0,16,725,2718,3459,36
Upper Siang,0,0,3,346,1319,1668,70
Upper Subansiri,1,0,218,877,3011,4107,154
West Kameng,6,0,122,1314,5935,7377,162
West Siang,0,0,293,1266,4392,5951,125
