District,Enrolment under PMJJBY,eligible cases under PMJJBY,renewals under PMJJBY,Enrolment under PMSBY,eligible cases under PMSBY,renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Anjaw,1824,7321,1509,2161,10487,1876,51,4036
Changlang,8872,51745,7731,27039,81186,24636,3387,39298
Dibang Valley,686,2996,635,1020,4081,975,66,1772
East Kameng,4089,31403,3094,7473,41937,6236,944,12506
East Siang,16746,151820,10110,47566,190768,36439,4196,68508
Kamle,754,3789,727,1501,5461,1437,25,2280
Kra Daadi,1673,7108,1288,2307,10240,1920,81,4061
Kurung Kumey,1410,5379,1038,1757,7886,1335,189,3356
Lepa Rada,2163,13484,1739,3704,18616,3053,612,6479
Lohit,8581,29736,6375,18285,42033,15142,1278,28144
Longding,2269,17102,1452,6343,28056,5027,247,8859
Lower Dibang Valley,5231,26904,3881,10029,37466,8554,1473,16733
Lower Siang,7099,93060,4031,18907,106443,15264,2748,28754
Lower Subansiri,7475,48051,5018,18781,62856,13735,797,27053
Namsai,8531,43967,6698,21589,61874,19207,3038,33158
Pakke Kessang,308,2332,281,501,3687,456,45,854
Papum Pare,38031,235359,25218,73328,293920,53376,7991,119350
Shi Yomi,546,3469,334,693,4746,537,84,1323
Siang,1708,13949,1087,4883,19282,4058,240,6831
Tawang,5643,33850,4583,8419,45037,6535,860,14922
Tirap,2721,19449,2147,5626,29452,4683,216,8563
Upper Siang,5727,19836,4597,9605,27466,8308,318,15650
Upper Subansiri,9273,47840,6644,16324,63521,13599,688,26285
West Kameng,9416,53935,8018,18433,72605,14741,2068,29917
West Siang,7033,46149,4273,12982,62708,9070,1575,21590
