district,BHIM/UPI,BHIM Aadhaar,Bharat QR Code,IMPS,Cards (Debit & Credit),USSD
Anjaw,835530,10,0,0,3,2823
Changlang,8855232,91,231,2197,8144,32531
Dibang Valley,536815,0,0,0,935,1943
East Kameng,4319629,75,504,2636,5969,11205
East Siang,12405116,223,1608,37372,61267,35420
Kamle,759142,9,0,0,3,1745
Kra Daadi,939037,9,0,9,541,3666
Kurung Kumey,766649,5,0,0,5329,3149
Lepa Rada,2163148,24,0,446,2020,7292
Lohit,4478241,88,194,9479,5761,17989
Longding,2951716,8,0,2,73,11329
Lower Dibang Valley,4373550,47,129,18148,18581,15615
Lower Siang,2534082,11,0,36,790,11805
Lower Subansiri,6449885,8,582,9697,28508,19701
Namsai,4762471,229,848,25605,13839,21841
Pakke Kessang,693193,3,0,0,171,2918
Papum Pare,39843010,1008559,38855,288298,392513,198771
Shi Yomi,335754,0,0,1,594,3934
Siang,1253572,1,0,11,357,4373
Tawang,3203863,20,164,8257,19392,26192
Tirap,3814716,20,0,7,791,24755
Upper Siang,2064722,35,0,20,3790,6559
Upper Subansiri,4945252,109,0,658,12459,14652
West Kameng,8421017,36,599,2852,23888,76658
West Siang,8119692,23,635,6812,46443,23927
