district,Housing Loan (PS) O/S,Housing Loan (NPS) O/S,Rural Housing Loan O/S,Housing Loan Eligible under PMAY O/S,Current Year Disbursed under PMAY,PMAY O/S
Anjaw,1,0,0,0,0,0
Changlang,30,11,0,0,0,0
Dibang Valley,7,0,0,0,0,0
East Kameng,17,4,1,0,0,0
East Siang,16,78,23,0,0,0
Kamle,2,0,0,0,0,0
Kra Daadi,1,0,0,0,0,0
Kurung Kumey,18,0,0,0,0,0
Lepa Rada,62,5,8,0,0,2
Lohit,10,12,7,0,0,0
Longding,9,0,0,0,0,0
Lower Dibang Valley,8,7,4,0,0,0
Lower Siang,125,4,6,0,0,0
Lower Subansiri,49,33,18,0,0,0
Namsai,22,22,3,0,0,0
Pakke Kessang,21,0,1,0,0,1
Papum Pare,568,638,100,0,0,0
Shi Yomi,3,0,0,0,0,0
Siang,1,2,2,0,0,0
Tawang,19,15,0,0,0,0
Tirap,26,0,0,0,0,0
Upper Siang,4,0,0,0,0,0
Upper Subansiri,35,2,2,0,0,0
West Kameng,94,26,20,3,0,3
West Siang,24,45,31,0,0,3
