District,Branch Rural,Branch Semi-Urban,Branch Urban,Total Branch,ATM Rural,ATM Semi-Urban,ATM Urban,Total ATM,"Out Of Total CSP, Fixed Point CSP","Out Of Total CSP,Other CSP",Total CSP
Anjaw,2,0,0,2,1,0,0,1,8,0,10
Changlang,11,3,0,14,12,2,0,14,42,12,71
Dibang Valley,1,1,0,2,1,0,0,1,1,0,1
East Kameng,2,8,0,10,0,8,0,8,16,11,30
East Siang,6,13,0,19,3,18,0,21,60,26,110
Kamle,1,0,0,1,0,0,0,0,2,0,2
Kra Daadi,2,0,0,2,3,0,0,3,5,2,7
Kurung Kumey,1,3,0,4,2,1,0,3,1,3,5
Lepa Rada,3,2,0,5,1,1,0,2,3,1,10
Lohit,4,7,0,11,2,13,0,15,8,2,24
Longding,3,0,0,3,3,0,0,3,11,1,12
Lower Dibang Valley,2,8,0,10,0,12,0,12,41,7,72
Lower Siang,4,0,0,4,3,0,0,3,26,17,43
Lower Subansiri,4,11,0,15,4,13,0,17,29,2,39
Namsai,3,8,0,11,3,8,0,11,17,15,73
Pakke Kessang,1,0,0,1,2,0,0,2,1,0,1
Papum Pare,19,60,0,79,13,118,0,131,87,628,728
Shi Yomi,1,1,0,2,1,1,0,2,4,1,5
Siang,4,0,0,4,1,0,0,1,9,0,9
Tawang,4,7,0,11,3,12,0,15,13,1,23
Tirap,3,2,0,5,4,1,0,5,16,0,32
Upper Siang,4,3,0,7,3,1,0,4,11,1,13
Upper Subansiri,5,3,0,8,2,7,0,9,11,2,24
West Kameng,18,1,0,19,29,1,0,30,27,2,35
West Siang,2,9,0,11,1,15,0,16,17,10,41
