district,ATMA NIRBHAR KRISHI YOJANA,ATMA NIRBHAR BHAGWANI YOJANA
Anjaw,173,78
Changlang,738,253
Dibang Valley,103,174
East Kameng,656,306
East Siang,457,339
Kamle,192,83
Kra Daadi,416,192
Kurung Kumey,412,317
Lepa Rada,275,137
Lohit,184,83
Longding,768,326
Lower Dibang Valley,496,223
Lower Siang,316,279
Lower Subansiri,508,497
Namsai,247,180
Pakke Kessang,184,62
Papum Pare,642,234
Shi Yomi,247,181
Siang,364,125
Tawang,332,305
Tirap,901,343
Upper Siang,163,154
Upper Subansiri,675,354
West Kameng,745,372
West Siang,780,318
