District,Inactive BC,Rupay Card active in PMJDY,First time active Rupay Card,Aadhaar Authenticated Sb accounts,Rupay Card issued in KCC
Anjaw,1,732,732,8016,5
Changlang,5,8998,8751,71670,41
Dibang Valley,0,93,92,5807,31
East Kameng,1,4543,3479,59012,30
East Siang,21,8208,8773,49828,109
Kamle,3,114,114,5427,4
Kra Daadi,0,707,707,5936,28
Kurung Kumey,0,1045,761,24138,55
Lepa Rada,0,1099,960,14487,47
Lohit,4,4481,4049,32695,262
Longding,2,4169,4169,20385,21
Lower Dibang Valley,28,2938,2754,32753,177
Lower Siang,16,6479,6479,8123,10
Lower Subansiri,1,3718,3056,38808,267
Namsai,1,5982,3579,40740,258
Pakke Kessang,0,102,102,3103,5
Papum Pare,204,18431,14328,178773,967
Shi Yomi,0,496,461,6905,0
Siang,1,1242,1242,5380,1
Tawang,6,2287,900,32713,26
Tirap,1,4527,3951,37461,18
Upper Siang,3,361,305,24165,61
Upper Subansiri,2,4639,2859,44872,98
West Kameng,11,4252,3173,48600,167
West Siang,74,3408,2963,33339,16
