District,Micro,Small,Medium,KVIC,Others under MSMEs,Cluster Finance,Msme Total
Anjaw,11,2,0,0,0,0,13
Changlang,129,40,0,0,0,0,170
Dibang Valley,10,0,0,0,0,0,10
East Kameng,30,1,0,0,0,0,32
East Siang,176,4,0,0,0,0,251
Kamle,25,0,0,0,0,0,25
Kra Daadi,78,0,0,0,0,0,79
Kurung Kumey,77,0,0,0,4,0,81
Lepa Rada,86,0,0,0,0,0,90
Lohit,144,3,4,0,0,0,162
Longding,146,4,0,0,0,0,150
Lower Dibang Valley,120,2,0,0,1,0,136
Lower Siang,96,1,0,0,0,0,97
Lower Subansiri,118,2,0,2,0,0,136
Namsai,149,3,0,0,0,0,173
Pakke Kessang,25,0,0,0,0,0,25
Papum Pare,882,88,9,13,27,0,1215
Shi Yomi,14,0,0,0,1,0,15
Siang,30,0,0,0,0,0,30
Tawang,94,3,0,0,1,0,124
Tirap,49,3,0,0,0,0,52
Upper Siang,31,0,0,0,0,0,31
Upper Subansiri,105,2,0,0,0,0,107
West Kameng,272,13,0,0,5,0,322
West Siang,137,5,9,0,0,0,165
