district,Number of Rural Branches,No of camps conducted during the Quarter
Anjaw,2,3
Changlang,7,9
Dibang Valley,2,3
East Kameng,2,10
East Siang,6,3
Kamle,1,3
Kra Daadi,1,3
Kurung Kumey,4,2
Lepa Rada,0,2
Lohit,3,2
Longding,3,2
Lower Dibang Valley,3,3
Lower Siang,0,3
Lower Subansisri,6,15
Namsai,3,2
Pakke Kessang,1,3
Papum Pare,13,2
Shi Yomi,1,4
Siang,4,4
Tawang,6,5
Tirap,4,2
Upper Siang,7,3
Upper Subansiri,5,6
West Kameng,14,3
West Siang,11,9
