district,Sishu No.,Sishu Amt,Kishore No.,Kishore Amt,Tarun No.,Tarun Amt,Total Mudra No.,Total Mudra Amt
Anjaw,1,0.5,82,165.12,9,54.78,92,220.4
Changlang,71,14.7,332,541.72,29,111.82,432,668.24
Dibang Valley,1,0.5,1,3.8,4,0.39,6,4.69
East Kameng,9,2.42,70,129.48,30,243.34,109,375.24
East Siang,48,9.64,374,594.05,121,760.3,543,1363.99
Kamle,3,1.01,145,178.15,19,66.56,167,245.72
Kra Daadi,34,10.3,139,137.62,25,110.86,198,258.78
Kurung Kumey,36,0.54,176,205.14,13,49.81,225,255.49
Lepa Rada,33,7.28,118,170.06,27,130.23,178,307.57
Lohit,56,11.37,184,266.28,23,105.97,263,383.62
Longding,135,34.91,426,711.13,21,51.15,582,797.19
Lower Dibang Valley,48,9.93,73,113.91,28,198.34,149,322.18
Lower Siang,8,2.46,96,150.12,12,56.06,116,208.64
Lower Subansiri,41,7.2,215,452.61,60,334.59,316,794.4
Namsai,752,272.32,242,506.18,40,210.61,1034,989.11
Pakke Kessang,18,4.05,84,36.93,3,16.08,105,57.06
Papum Pare,166,23.7,554,1127.95,308,1708.48,1028,2860.13
Shi Yomi,1,0,1,0.12,3,18.04,5,18.16
Siang,3,1.5,66,82.3,2,14.35,71,98.15
Tawang,12,4.94,127,222.38,52,307.02,191,534.34
Tirap,37,9.48,284,375.53,9,36.38,330,421.39
Upper Siang,40,4.95,152,142.44,10,56.58,202,203.97
Upper Subansiri,17,0.15,105,116.92,44,179.88,166,296.95
West Kameng,38,11.67,194,334.07,79,402.22,311,747.96
West Siang,23,3.08,189,415.79,62,330.51,274,749.38
