District,Christians,Muslims,Buddhists,Sikhs,Zoroastrians,Jains,TOTAL Loan To Minority
Anjaw,17,3,23,0,0,0,43
Changlang,1290,62,665,16,0,0,2033
Dibang Valley,23,4,7,0,0,0,34
East Kameng,1107,83,151,7,0,0,1348
East Siang,594,186,79,23,0,3,885
Kamle,58,1,1,0,0,0,60
Kra Daadi,900,1,5,2,0,0,908
Kurung Kumey,1416,14,12,0,0,0,1442
Lepa Rada,280,27,58,0,0,0,365
Lohit,210,84,354,9,0,0,657
Longding,3403,13,18,3,0,0,3437
Lower Dibang Valley,679,53,68,4,0,0,804
Lower Siang,342,18,19,2,0,0,381
Lower Subansiri,2703,199,155,19,0,0,3076
Namsai,494,64,2521,3,0,0,3082
Pakke Kessang,165,9,12,3,0,0,189
Papum Pare,11652,1632,1881,68,2,56,15291
Shi Yomi,35,1,113,0,0,0,149
Siang,17,1,16,0,0,0,34
Tawang,78,38,2710,31,1,0,2858
Tirap,1510,11,22,2,0,0,1545
Upper Siang,171,10,107,0,0,0,288
Upper Subansiri,376,46,64,2,0,0,488
West Kameng,492,99,4988,36,0,1,5616
West Siang,208,77,289,9,0,1,584
