District,SHG NPA Amt,SHG NPA No.,SHG O/S Amt,SHG O/S No.,Credit Current Amount FY Linked,Credit Linked No. (Current FY),Savings Current Amount FY Linked,Savings Linked No. (Current FY),Credit During Amount Quarter the Linked,Credit Linked No. (Quarter),Linked Quarter During the Amount Savings,Savings Linked No. (Quarter)
East Garo Hills,7.94,18,136.77,183,26,34,102.03,2017,6.5,13,79.53,987
East Khasi Hills,2.38,44,1006.86,1232,500.3,532,164.64,3456,236.74,265,97.06,719
Ri Bhoi,7,87,1039.14,1246,136.5,94,51.45,677,36.5,29,40.82,428
West Garo Hills,7.78,170,986.84,1354,296.82,259,202.1,3354,94.5,88,156.98,1973
West Khasi Hills,2.53,37,662.03,676,145,111,41.3,392,67,50,3.7,200
