District,NPS Pct NPA,Total Non-Priority NPA Amt,Tot NPA Priorityrityrity No. Sec Non,Total NPS O/S Amt,Total NPS O/S No.,Other Amt (NPS),Other No. (NPS),Personal Loan Amt,Personal Loan No.,Housing Amt (NPS),Housing No. (NPS),Education Amt (NPS),Education No. (NPS),Agriculture Amt (NPS),Agriculture No. (NPS)
East Garo Hills,1.94,409.07,304,21083.6,5873,18158.73,4628,2405.41,1187,504.44,51,7.49,3,7.53,4
East Khasi Hills,15.1,89448.9,2190,592436.92,86128,466501.94,62795,57162.65,19175,62353.54,3824,4903.72,319,1515.07,15
Ri Bhoi,0.94,1121.12,711,119759.81,24328,96727.28,20187,6271.42,2875,16539.16,1242,102.26,9,119.69,15
West Garo Hills,1.98,1703.6,960,86143.78,22395,67587.7,16641,10388.76,5010,8046,714,96.85,10,24.47,20
West Khasi Hills,1.32,160.51,73,12179.03,4045,8201.59,2516,3668.08,1507,296.68,19,12.68,3,0,0
