District,Total MUDRA Disbursement Amt,Total MUDRA Disbursement No.,Tarun Amt,Tarun No.,Kishore Amt,Kishore No.,Sishu amt,Sishu No.
Eastern West Khasi Hills,79.29,33,46.24,8,28.72,15,4.33,10
East Garo Hills,404.15,576,144.14,23,91.93,59,168.08,494
East Jaintia Hills,471.5,183,292.04,51,168.28,84,11.18,48
East Khasi Hills,6121.83,5044,2278.81,317,3026.45,2200,816.57,2527
North Garo Hills,259.21,179,164.17,32,91.04,123,4,24
Ri Bhoi,1143.58,731,354.9,68,707.34,453,81.34,210
South Garo Hills,215.97,121,132.41,28,71.65,63,11.91,30
South West Garo Hills,272.58,154,125.36,20,144.76,125,2.46,9
South West Khasi Hills,36.47,56,20.62,8,14.43,42,1.42,6
West Garo Hills,1747.95,1659,901.51,169,420.39,309,426.05,1181
West Jaintia Hills,1069.09,647,394.5,57,593,365,81.59,225
West Khasi Hills,269.05,104,110.67,16,150.71,70,7.67,18
