District,Self Help Groups No.,DRI Scheme Amt,DRI Scheme No.,Scheduled Tribes Amt,Scheduled Tribes No.,Scheduled Castes Amt,Scheduled Castes No.,Small & Marginal Farmers Amt,Small & Marginal Farmers No.
Eastern West Khasi Hills,781,1.37,8,7339.74,7151,0,0,3305.46,6582
East Garo Hills,394,0,0,623.87,466,8.44,2,3096.43,4791
East Jaintia Hills,551,5.51,38,5943.16,3079,17.85,17,1709.94,2499
East Khasi Hills,1342,26.86,162,96131.47,42732,2156.25,1586,13740.46,23743
North Garo Hills,359,0.85,5,817.01,745,19.46,12,3363.62,4822
Ri Bhoi,1252,4.06,30,13663.46,14749,748.73,598,18659.93,30183
South Garo Hills,334,0,0,639.16,568,0.8,2,1530.02,2277
South West Garo Hills,504,0,0,1433.61,1611,29.74,25,4272.79,6365
South West Khasi Hills,440,0,0,3018.79,2736,3.03,6,1588.93,2646
West Garo Hills,1450,0,0,8504.67,5813,102.2,52,6042.52,10168
West Jaintia Hills,1086,6.32,38,16338.64,7640,287.81,25,3801.85,4665
West Khasi Hills,692,0.95,7,7776.31,5120,50.32,6,4105.4,6625
