District,NULM NPA Amt,NULM NPA No.,NULM O/S Amt,NULM O/S No.,NRLM NPA Amt,NRLM NPA No.,NRLM Irregular A/C Amt,NRLM Irregular A/C No.,NRLM O/S Amt,NRLM O/S No.
Eastern West Khasi Hills,0,0,0,0,30.45,20,9.53,7,935.02,766
East Garo Hills,0,0,0,0,19.13,54,3.87,11,222.25,421
East Jaintia Hills,0,0,0,0,1.09,2,1.09,2,479.3,530
East Khasi Hills,7.47,17,13.55,23,10.35,18,7.19,11,981.86,1260
North Garo Hills,0,0,0,0,36.12,108,0.92,8,201.37,379
Ri Bhoi,6.42,4,0,0,28.22,39,22.15,24,923.28,1130
South Garo Hills,1.31,1,4.88,5,31.23,66,29.87,53,218.59,273
South West Garo Hills,0,0,0,0,5.41,6,2.44,3,359.43,424
South West Khasi Hills,0,0,0,0,0.48,1,0.52,4,523.94,420
West Garo Hills,14.85,16,52.14,55,68.65,137,24.74,45,1057.69,1358
West Jaintia Hills,6.33,5,7.59,6,21.74,21,19.14,16,923.27,1037
West Khasi Hills,0,0,0,0,4.06,7,4.06,7,661.18,657
