District,ST Outstanding Amt,ST Outstanding No.,ST Disbursement Amt,ST Disbursement No.,SC Outstanding Amt,SC Outstanding No.,SC Disbursement Amt,SC Disbursement No.
Eastern West Khasi Hills,8420.82,7811,867.69,677,25.78,8,1,1
East Garo Hills,5334.71,3455,305.75,131,137.05,31,15.28,3
East Jaintia Hills,10548.22,4513,897.09,763,84.85,31,13.65,5
East Khasi Hills,231069.06,59718,19149.22,7800,5068.04,2638,1303.04,426
North Garo Hills,5412.42,4981,546.09,362,225.06,60,43.4,6
Ri Bhoi,27969.13,23148,4273.62,2317,4073.01,1289,938.43,189
South Garo Hills,3967.08,3186,265.79,200,8.61,10,0.05,1
South West Garo Hills,7221.56,5851,889.14,264,229.52,80,52.55,10
South West Khasi Hills,4247.64,3245,381.75,335,24.97,12,0,0
West Garo Hills,23625.35,13977,3295.82,1111,1084.28,302,241.55,54
West Jaintia Hills,36036.36,11023,2903.72,1507,2642.27,922,366.42,89
West Khasi Hills,9901.81,7092,945.46,609,74.97,9,0,0
