District,Total Minority O/S Loan Amt,Total Minority O/S Loan No.,Jains Amt,Jains No.,Zoroastrians Amt,Zoroastrians No.,Sikhs Amt,Sikhs No.,Buddhists Amt,Buddhists No.,Muslims Amt,Muslims No.,Christians Amt,Christians No.
East Garo Hills,833.47,2983,1.74,1,3.51,1,15.22,2,0,0,235.56,66,577.44,2913
East Jaintia Hills,6843.48,8236,27.69,3,0,0,2.5,2,5.75,1,582.22,129,6225.32,8101
East Khasi Hills,108638.53,69150,141.31,7287,0,0,1385.6,561,671.04,148,11834.71,2298,94605.87,58856
North Garo Hills,332.06,216,0,0,0,0,0,0,0,0,74.95,30,257.11,186
Ri Bhoi,22603.83,22720,118.7,9,2.18,1,1897.24,34,200.75,33,8409.48,1566,11975.48,21077
South Garo Hills,553.72,2918,0,0,0,0,0,0,0,0,165.99,37,387.73,2881
West Garo Hills,15695.81,20562,4.41,1,0,0,86.73,15,31.83,12,7417.42,3171,8155.42,17363
West Jaintia Hills,17463.37,10501,0,0,0,0,4.24,9,0.09,1,271.6,75,17187.44,10416
West Khasi Hills,7828.64,10469,0,0,0,0,24.22,5,11.18,8,35.81,17,7757.43,10439
