District,Total Enrolment,APY Enrolment,PMSBY Renewals,PMSBY Eligible Cases,PMSBY Enrolment,PMJJBY Renewals,PMJJBY Eligible Cases,PMJJBY Enrolment
Eastern West Khasi Hills,18622,716,6167,79384,9513,6265,63274,8393
East Garo Hills,64185,1743,8685,71049,45434,3232,46547,17008
East Jaintia Hills,52966,1402,16025,97429,35009,6992,80836,16555
East Khasi Hills,276674,12794,76119,729483,176894,38008,548317,86986
North Garo Hills,81105,6464,15416,85607,52530,6759,50959,22111
Ri Bhoi,134373,3317,37205,199134,96009,11453,150287,35047
South Garo Hills,27523,836,4057,50042,19743,5650,32888,6944
South West Garo Hills,125715,2090,17989,98937,87388,2390,59104,36237
South West Khasi Hills,22749,223,4925,53132,14100,3252,39749,8426
West Garo Hills,308440,7157,48533,335635,217351,16621,206572,83932
West Jaintia Hills,79225,2315,24019,177777,56255,7547,137929,20655
West Khasi Hills,35014,1295,9640,113190,22881,4176,89756,10838
