District,sc_st_loans,sc_st_amount,women_loans,women_amount,total_loans,total_amount
Aligarh,864.0,30189.0,80535.0,2012.0,15.45,241.89
Ambedkar Nagar,918.0,21518.0,51580.0,132.0,6.29,116.07
Amroha,333.0,4107.0,8344.0,11.0,1.55,24.38
Auraiya,462.0,15272.0,55410.0,394.0,8.26,152.29
Azamgarh,1529.0,14951.0,50699.0,31.0,5.8,85.9
Baghpat,90.0,649.0,712.0,33.0,0.11,2.03
Ballia,839.0,19800.0,76123.0,9.76,140.72,120.35
Balrampur,783.0,23305.0,47856.0,937.0,9.97,163.9
Banda,17.0,51.5,10.0,2.0,5.0,2.0
Bareilly,902.0,8330.0,20984.0,438.0,5.46,87.86
Basti,3260.0,16939.0,,,,
Bhadohi,518.0,12643.0,47398.0,356.0,6.47,121.57
Bijnor,447.0,1075.0,4038.0,1057.0,0.78,12.91
Budaun,877.0,22729.0,42750.0,1288.0,12.45,176.25
Bulandshahr,778.0,16514.0,35195.0,4.73,82.14,20.79
Chandauli,665.0,6639.0,23543.0,347.0,4.65,92.26
Chitrakoot,4832.0,24348.0,12.06,12.06,,
Deoria,40.0,130.0,20.0,68.04,21.0,64.21
Etah,554.0,16949.0,48745.0,285.0,9.3,142.72
Etawah,450.0,12246.0,41650.0,2498.0,6.51,110.93
Farrukhabad,555.0,21486.0,47155.0,404.0,10.29,190.89
Fatehpur,3075.0,16776.0,20.0,89.7,19.0,87.2
Firozabad,540.0,11851.0,29931.0,1361.0,6.36,82.43
Gautam Buddha Nagar,4090.0,7099.0,1.52,25.61,12.81,12.81
Ghaziabad,141.0,941.63,48.0,401.72,40.0,340.28
Ghazipur,25.0,41.75,12.0,17.91,14.41,11.91
Gonda,1038.0,13378.0,31570.0,70.0,5.66,83.91
Gorakhpur,59.0,168.53,12.0,46.1,20.0,74.11
Hamirpur,825.0,4864.0,12.29,,,
Hapur,22.0,131.5,19.0,100.25,23.0,123.25
Hardoi,3729.0,20907.0,13.0,26.11,13.0,33.61
Hathras,443.0,14960.0,35899.0,89.0,6.27,88.2
Jalaun,26.0,170.94,13.32,4.0,36.42,15.82
Jaunpur,7.0,19.75,2.0,5.0,5.0,5.0
Jhansi,137.0,281.13,20.0,55.82,14.0,44.06
Kannauj,451.0,20817.0,49004.0,388.0,11.05,187.11
Kanpur Dehat,2432.0,19878.0,,,,
Kanpur Nagar,393.0,20981.0,64986.0,366.0,10.11,184.02
Kasganj,413.0,10517.0,51238.0,118.0,5.18,73.27
Kaushambi,482.0,21980.0,87322.0,201.0,9.45,148.34
Kheri,908.0,6823.0,20239.0,3.51,68.75,51.57
Kushi Nagar,3571.0,17814.0,15.25,3.0,14.0,7.75
Lalitpur,1496.0,6476.0,27.95,11.0,39.34,10.0
Lucknow,427.0,19342.0,55709.0,24.0,6.25,96.99
Maharajganj,3136.0,16677.0,,,,
Mahoba,19.0,32.88,14.81,8.56,7.32,0.5
Mainpuri,553.0,11351.0,27256.0,493.0,3.81,65.01
Mathura,3476.0,24671.0,136.27,32.0,121.55,27.0
Mau,651.0,9076.0,28503.0,251.0,3.9,59.45
Meerut,151.0,1232.0,1608.0,47.0,0.25,4.51
Mirzapur,3114.0,17791.0,44.0,10.0,63.0,10.0
Moradabad,551.0,9672.0,18130.0,63.0,3.76,63.03
Muzaffarnagar,61.0,149.0,517.0,37.0,0.09,1.48
Pilibhit,699.0,10208.0,28843.0,228.0,8.64,177.91
Pratapgarh,2933.0,13978.0,,,,
Rae Bareli,4677.0,27866.0,20.33,5.0,20.0,21.25
Rampur,671.0,11439.0,30279.0,143.0,6.58,113.21
Saharanpur,725.0,6659.0,8821.0,10.0,0.94,15.32
Sambhal,560.0,7602.0,12445.0,49.0,2.98,46.74
Sant Kabeer Nagar,1503.0,8659.0,29.0,87.09,27.0,81.84
Shahjahanpur,826.0,3615.0,18136.0,166.0,3.38,70.6
Shamli,100.0,299.0,477.0,2.0,0.09,1.72
Shravasti,398.0,25720.0,68237.0,99.0,13.76,215.25
Siddharth Nagar,3096.0,10420.0,23.0,69.68,20.0,48.43
Sitapur,2750.0,15144.0,25.28,6.0,23.53,22.28
Sonbhadra,1870.0,14192.0,7.45,3.0,7.45,7.45
Sultanpur,2536.0,16171.0,22.39,42.39,37.5,37.5
Unnao,2376.0,16302.0,,,,
Varanasi,624.0,14448.0,47562.0,1436.0,6.19,98.5
