District,target_no,target_amt,achievement_no,achievement_amt,achievement_pct_no,achievement_pct_amt
Agra,3000.0,4367.0,2111.9,1337.0,607.49,1308.0
Aligarh,1108.0,472.09,969.0,422.97,893.0,389.43
Ambedkar Nagar,1900.0,1307.0,539.93,1306.0,539.24,1211.0
Amethi,1700.0,1981.0,942.37,,,
Amroha,1800.0,3173.0,1488.0,,,
Auraiya,1500.0,1422.0,,,,
Azamgarh,2200.0,4096.0,2015.2,1776.0,813.95,1904.0
Baghpat,398.0,137.84,65.0,23.67,16.0,28.78
Ballia,1700.0,2519.0,1167.9,813.0,321.24,728.0
Balrampur,235.28,494.0,74.0,31.83,13.0,31.11
Banda,77.0,247.33,27.0,93.08,22.0,78.58
Barabanki,1700.0,3151.0,1502.3,1021.0,418.69,898.0
Bareilly,2700.0,3683.0,1152.0,445.12,1192.0,464.75
Basti,2200.0,2787.0,959.0,383.27,1002.0,396.3
Bhadohi,751.0,683.0,715.0,58.81,22.0,67.56
Bijnor,1700.0,1959.0,965.39,,,
Budaun,1700.0,2133.0,254.61,249.9,7.47,341.0
Chandauli,1700.0,1622.0,736.8,593.0,239.32,618.0
Chitrakoot,1200.0,908.0,413.09,444.0,174.23,467.0
Deoria,1700.0,1889.0,920.33,742.0,333.56,729.0
Etah,1700.0,3357.0,1591.0,816.0,317.91,789.0
Etawah,1700.0,2261.0,1094.2,715.0,293.7,741.0
Farrukhabad,1700.0,2394.0,1140.2,858.0,374.3,784.0
Fatehpur,5220.0,7310.0,,,,
Firozabad,2000.0,2227.0,1078.6,741.0,299.01,779.0
Gautam Buddha Nagar,1900.0,2049.0,912.06,474.0,172.84,468.0
Ghaziabad,2000.0,2592.0,1240.9,676.0,658.0,194.83
Ghazipur,1700.0,1667.0,801.18,732.0,326.12,749.0
Gonda,2200.0,3385.0,1553.2,977.0,368.49,1015.0
Gorakhpur,2700.0,2938.0,1428.2,1079.0,470.73,1165.0
Hamirpur,1700.0,1315.0,602.88,498.0,187.39,495.0
Hapur,1700.0,1683.0,774.52,618.0,217.37,622.0
Hardoi,225.0,612.08,51.0,131.26,42.0,110.83
Hathras,1700.0,1705.0,784.98,432.0,163.83,440.0
Jalaun,1700.0,2313.0,1084.7,658.0,288.11,670.0
Jaunpur,2200.0,4606.0,2203.1,1901.0,828.1,2013.0
Jhansi,2200.0,4658.0,2219.5,1347.0,524.59,1251.0
Kannauj,1700.0,2252.0,1089.0,628.0,275.29,655.0
Kanpur Dehat,2200.0,2177.0,1017.8,867.0,360.07,881.0
Kanpur Nagar,3000.0,3751.0,1794.6,1320.0,568.63,1356.0
Kasganj,1700.0,1124.0,494.06,393.0,131.06,374.0
Kaushambi,1700.0,4934.0,2398.2,1259.0,479.75,1202.0
Kheri,1700.0,1505.0,628.43,738.0,259.72,776.0
Kushi Nagar,1700.0,2020.0,961.68,829.0,370.19,835.0
Lalitpur,1700.0,2516.0,1118.6,762.0,289.32,786.0
Lucknow,138.0,530.74,61.0,226.39,62.0,221.61
Maharajganj,1700.0,2857.0,1365.5,961.0,359.55,912.0
Mahoba,1550.0,1117.0,455.35,351.0,115.19,362.0
Mainpuri,1700.0,2654.0,1227.2,818.0,307.99,714.0
Mathura,2700.0,3788.0,1847.0,952.0,374.43,958.0
Mau,1850.0,2343.0,1069.6,912.0,376.22,915.0
Meerut,2300.0,2687.0,1319.9,913.0,398.94,943.0
Mirzapur,2700.0,3393.0,1601.7,955.0,400.63,984.0
Moradabad,2900.0,3619.0,1745.4,952.0,404.09,1041.0
Muzaffarnagar,464.66,52.0,196.9,42.0,177.77,37.0
Pilibhit,1700.0,2823.0,1336.6,621.0,250.07,612.0
Pratapgarh,1700.0,3204.0,1538.9,744.0,312.62,779.0
Prayagraj,2900.0,5449.0,2654.3,1256.0,563.41,1234.0
Rae Bareli,2200.0,2715.0,1331.5,1163.0,530.44,1239.0
Rampur,2200.0,2556.0,1095.7,791.0,227.3,807.0
Saharanpur,3000.0,4030.0,1967.2,1312.0,556.64,1211.0
Sambhal,1700.0,2191.0,1040.4,542.0,207.59,554.0
Sant Kabeer Nagar,1700.0,1651.0,799.63,536.0,230.91,564.0
Shahjahanpur,289.15,659.0,1969.19,46.33,29.13,
Shamli,1700.0,1472.0,697.71,374.0,135.9,366.0
Shravasti,100.0,167.81,24.0,36.92,27.0,41.85
Siddharth Nagar,1700.0,1849.0,875.7,922.0,392.96,918.0
Sitapur,2200.0,2643.0,1202.6,937.0,373.59,1018.0
Sonbhadra,1700.0,2106.0,1021.1,534.0,221.29,616.0
Sultanpur,2500.0,2212.0,1047.2,911.0,409.43,898.0
Unnao,2200.0,1668.0,797.31,695.0,282.53,701.0
Varanasi,2900.0,2915.0,1408.6,1282.0,565.52,231.25
