District,col_1,col_2,col_3,col_4,col_5,col_6
Aligarh,401176.0,12710.49,,,,
Ambedkar Nagar,210150.0,3474.67,290.26,7.31,,
Amethi,280550.0,3607.07,41118.0,473.49,14.66,
Amroha,212411.0,5069.9,28195.0,,,
Ayodhya,229545.0,5195.23,,,,
Azamgarh,319344.0,20738.0,,,,
Baghpat,3155.25,464.73,,,,
Bahraich,262036.0,6035.93,,,,
Ballia,171.59,4.15,,,,
Balrampur,121706.0,2476.14,11714.0,9.62,11.04,
Barabanki,315602.0,460.17,6.16,6.71,,
Bareilly,673204.0,16258.0,2560.53,30.93,15.75,
Basti,3587.07,10050.0,193.2,5.39,,
Budaun,6173.66,411.67,8.85,,,
Bulandshahr,353433.0,8999.36,47212.0,,,
Chandauli,228.71,7.82,,,,
Chitrakoot,1625.96,1953.0,30.56,2.12,1.88,
Ghaziabad,10.33,7.38,,,,
Gonda,253030.0,5107.33,,,,
Gorakhpur,622827.0,53985.0,832.33,5.88,,
Hamirpur,125042.0,2292.1,5948.0,4.89,,
Hapur,144342.0,5221.97,33199.0,681.49,13.05,
Hardoi,351733.0,6048.36,20815.0,433.96,7.17,
Hathras,197622.0,15210.0,198.24,7.7,4.58,
Jalaun,152712.0,3250.21,8373.0,160.67,5.48,4.94
Jhansi,8040.64,11541.0,359.77,4.38,4.47,
Kasganj,137260.0,2802.07,7695.0,5.61,5.36,
Kaushambi,128819.0,2013.51,11130.0,179.8,8.64,
Lalitpur,3926.25,2868.0,160.4,1.49,4.09,
Lucknow,1111410.0,50625.17,4046.08,20.08,7.99,
Mainpuri,162353.0,4055.26,,,,
Mau,139760.0,2937.61,,,,
Meerut,452021.0,96520.0,2538.04,21.35,12.83,
Mirzapur,194250.0,4302.28,5.81,,,
Moradabad,297643.0,12525.39,6920.93,,,
Muzaffarnagar,437177.0,12783.46,20.26,,,
Pilibhit,78018.0,1320.96,25.99,23.2,,
Prayagraj,14448.22,9.33,8.63,,,
Rae Bareli,6931.77,5.2,5.51,,,
Rampur,239339.0,5975.24,24.26,,,
Saharanpur,470707.0,11666.04,2212.59,18.97,,
Sambhal,206976.0,4672.1,25560.0,561.0,12.35,12.02
Sant Kabeer Nagar,196270.0,2222.66,21966.0,220.48,11.19,9.92
Shahjahanpur,319337.0,8520.75,1030.67,1030.67,11.44,12.1
Shamli,3945.84,54077.0,631.72,22.06,16.01,
Shravasti,88463.0,11361.0,11361.0,156.72,12.84,11.67
Siddharth Nagar,2308.15,15558.0,311.94,10.45,13.51,
Sultanpur,218410.0,3714.13,,,,
Unnao,3682.86,10403.0,4.97,5.18,,
