District,rural_no,urban_no,male_no,female_no,total_pmjdy_no,active_no,balance_amt_crore,zero_balance_no,rupay_issued_no,rupay_active_no,active_pct,rupay_active_pct
Bahraich,657620.0,746909.0,,,,,,,,,,
Balrampur,862819.0,9670.0,409700.0,462789.0,872489.0,790475.0,598.19,64912.0,490274.0,732825.0,92.71,62.02
Banda,583482.0,123849.0,347955.0,707331.0,593124.0,402.21,39993.0,294043.0,582718.0,98.25,49.58,
Basti,1201088.0,150804.0,633633.0,718259.0,1351892.0,1218325.0,760.43,123055.0,892931.0,1081740.0,88.79,
Bijnor,37497.0,722661.0,1017568.0,1740229.0,1631465.0,737.02,218447.0,1212363.0,1512812.0,92.73,74.31,
Budaun,210008.0,897820.0,1868955.0,675.09,139500.0,1475236.0,1610536.0,86.17,78.93,,,
Bulandshahr,287080.0,1522900.0,1417211.0,801.91,152318.0,1200657.0,1281540.0,90.43,84.72,,,
Chitrakoot,454877.0,8168.0,233828.0,229217.0,463045.0,398960.0,240.24,31066.0,241688.0,391893.0,98.23,60.58
Deoria,1300113.0,346679.0,717296.0,929496.0,1646792.0,1528058.0,933.98,132120.0,1095984.0,1408746.0,92.19,71.72
Etawah,506676.0,230874.0,344703.0,,,,,,,,,
Farrukhabad,732574.0,228766.0,449057.0,,,,,,,,,
Firozabad,787375.0,615613.0,,,,,,,,,,
Gautam Buddha Nagar,359501.0,878523.0,763866.0,1238024.0,1116326.0,696.31,159443.0,991879.0,1052667.0,94.3,88.85,
Ghaziabad,262574.0,949947.0,578051.0,634470.0,,,,,,,,
Ghazipur,1861522.0,142465.0,934019.0,1069968.0,2003987.0,1865111.0,1218.6,212199.0,1066533.0,1778729.0,95.37,57.18
Gonda,1431293.0,248237.0,788706.0,890824.0,1679530.0,1507210.0,1059.95,127780.0,953150.0,1431548.0,94.98,63.24
Gorakhpur,1760320.0,1008239.0,1394936.0,2403175.0,2271962.0,1153.25,183840.0,1532297.0,2028055.0,89.26,67.44,
Hamirpur,449232.0,12175.0,226147.0,461407.0,409406.0,260.29,30195.0,312186.0,382249.0,93.37,76.25,
Hapur,307273.0,108383.0,182219.0,233437.0,415656.0,346990.0,230.07,61104.0,288248.0,328600.0,94.7,83.07
Hardoi,1843407.0,225849.0,977360.0,1091896.0,2069256.0,1947998.0,1131.7,148204.0,1593839.0,1782710.0,91.51,81.82
Jalaun,498773.0,137348.0,304241.0,331880.0,636121.0,571873.0,336.08,39504.0,374338.0,510566.0,89.28,65.46
Jaunpur,2843319.0,262144.0,1747280.0,3105463.0,2847710.0,1814.5,326405.0,1539589.0,2750326.0,96.58,54.06,
Jhansi,503857.0,271312.0,362397.0,412772.0,775169.0,717031.0,384.44,97727.0,538103.0,646597.0,90.18,75.05
Kannauj,900707.0,15340.0,430015.0,486032.0,916047.0,856136.0,398.73,76998.0,687852.0,803412.0,93.84,80.34
Kanpur Dehat,824123.0,79903.0,467142.0,436884.0,904026.0,857288.0,520.38,56561.0,705986.0,817519.0,95.36,82.35
Kanpur Nagar,678238.0,1096821.0,851435.0,923624.0,1629149.0,1076.29,120889.0,1401677.0,1551713.0,95.25,86.04,
Kaushambi,875025.0,54974.0,462706.0,467293.0,885369.0,632.05,43976.0,731908.0,845386.0,95.48,82.67,
Kheri,1905011.0,193250.0,992441.0,1105820.0,2098261.0,1918440.0,842.1,172797.0,1093564.0,1817762.0,94.75,57.0
Lalitpur,502594.0,169451.0,324937.0,347108.0,672045.0,628496.0,225.87,80690.0,440397.0,567552.0,90.3,70.07
Lucknow,707270.0,1005166.0,804868.0,907568.0,1712436.0,1635205.0,1240.56,174628.0,1282390.0,1451453.0,88.76,78.42
Mainpuri,863947.0,544643.0,1052552.0,925719.0,419.77,,,,,,,
Mathura,527478.0,1026452.0,912618.0,509.55,105946.0,809327.0,,,,,,
Mau,809857.0,1465003.0,1427938.0,821.27,149357.0,789079.0,,,,,,
Meerut,811683.0,596488.0,627750.0,780421.0,,,,,,,,
Mirzapur,1235525.0,1093563.0,681.11,93058.0,750548.0,1027608.0,93.97,68.63,,,,
Moradabad,1534294.0,1319646.0,721.93,137741.0,892954.0,1155806.0,87.58,67.67,,,,
Muzaffarnagar,1119838.0,1034730.0,551.76,114814.0,760189.0,919554.0,88.87,,,,,
Rampur,548879.0,1130957.0,1043647.0,683.56,72448.0,847933.0,990990.0,94.95,81.25,,,
Saharanpur,1336822.0,488566.0,831057.0,1825388.0,1701444.0,634.78,222975.0,1294788.0,1605114.0,94.34,76.1,
Sambhal,926164.0,323138.0,1249302.0,1124872.0,480.95,114224.0,721951.0,947129.0,84.2,64.18,,
Sant Kabeer Nagar,888910.0,909589.0,821723.0,457.87,86006.0,586090.0,739142.0,89.95,,,,
Shahjahanpur,1968596.0,1820303.0,966.46,82460.0,1632177.0,1805475.0,99.19,89.67,,,,
Shamli,444124.0,532684.0,457149.0,255.66,56340.0,351303.0,456461.0,99.85,76.85,,,
Shravasti,399194.0,378037.0,297.79,24745.0,173106.0,343504.0,90.87,,,,,
Siddharth Nagar,1343658.0,1379844.0,1281323.0,746.62,106265.0,896621.0,1177904.0,91.93,69.98,,,
Sultanpur,1494125.0,157841.0,801834.0,850132.0,,,,,,,,
Unnao,1096502.0,147270.0,573938.0,669834.0,,,,,,,,
Varanasi,1301887.0,741232.0,951195.0,,,,,,,,,
