District,total_deposit,total_advances,cd_ratio
Agra,20104.0,369.87,
Aligarh,12425.0,181.15,
Azamgarh,9387.63,37.17,
Bareilly,38635.17,27340.4,
Chandauli,5223.0,68.53,
Deoria,9850.0,130.81,
Etah,18391.0,312.22,
Etawah,13968.0,282.07,
Farrukhabad,3925.0,51.72,
Fatehpur,12731.0,255.32,
Firozabad,7237.0,135.93,
Ghaziabad,2868.0,79.97,
Ghazipur,21840.0,340.54,
Hathras,16058.0,282.62,
Kanpur Nagar,9086.0,198.88,
Lucknow,21350.0,530.51,
Maharajganj,8956.0,91.25,
Mahoba,12979.0,271.36,
Mainpuri,6984.0,97.21,
Mau,3788.0,58.41,
Meerut,29936.0,740.51,
Moradabad,7233.0,163.55,
Pilibhit,2250.0,56.92,
Rae Bareli,7642.0,142.46,
Shravasti,3073.67,1738.5,
Siddharth Nagar,8871.36,3778.43,42.59
