District,subscribers_fy15,subscribers_fy16,subscribers_fy17,subscribers_fy18,subscribers_fy19
Amethi,155.0,14510.0,12985.0,,
Banda,144.0,14020.0,9774.0,69.71,
Bhadohi,10145.0,96035.0,,,
Bijnor,279.0,26520.0,,,
Budaun,173.0,17000.0,12739.0,,
Chandauli,162.0,15395.0,,,
Chitrakoot,80.0,7685.0,7067.0,81848.0,
Etawah,142.0,12150.0,6803.0,55.99,85052.0
Hamirpur,112.0,10290.0,4694.0,45.62,76736.0
Hapur,114.0,10745.0,4120.0,38.34,47407.0
Hathras,134.0,12975.0,7143.0,55.05,87423.0
Kasganj,92.0,8430.0,6716.0,79.67,80133.0
Lalitpur,104.0,9340.0,8629.0,92.39,92919.0
Prayagraj,523.0,49040.0,26378.0,53.79,
Rae Bareli,325.0,29390.0,20720.0,70.5,
Rampur,227.0,19810.0,9907.0,50.01,
Saharanpur,283.0,26645.0,15383.0,57.73,
Sambhal,132.0,12790.0,6497.0,50.8,
Sant Kabeer Nagar,125.0,12185.0,9591.0,78.71,
Shahjahanpur,249.0,22370.0,19367.0,86.58,
Shamli,84.0,8070.0,3681.0,45.61,
Shravasti,73.0,7015.0,4566.0,65.09,50979.0
Sonbhadra,165.0,14740.0,8899.0,,
