District,shishu_no,shishu_amt,kishore_no,kishore_amt,tarun_no,tarun_amt,total_no,total_amt
Ayodhya,13671.0,53.5,53.34,16157.0,227.8,223.88,1464.0,126.07
Ballia,24501.0,95.84,95.38,26470.0,296.92,293.01,1226.0,103.48
Balrampur,5434.0,19.05,18.28,4659.0,72.84,624.0,51.29,50.87
Banda,11221.0,43.09,42.75,9153.0,115.26,113.57,698.0,52.52
Barabanki,4851.0,19.38,19.15,8550.0,142.58,134.71,1793.0,132.73
Bareilly,19784.0,77.63,77.33,22443.0,281.08,278.32,1816.0,150.63
Basti,14382.0,56.66,56.5,15335.0,181.45,179.86,992.0,81.38
Bhadohi,10104.0,40.0,39.38,13910.0,183.28,179.58,862.0,71.25
Bijnor,21704.0,92.76,92.45,27637.0,283.74,280.88,1556.0,127.53
Budaun,15840.0,65.65,65.41,13064.0,146.05,144.51,829.0,67.58
Bulandshahr,20066.0,76.27,76.02,26268.0,271.18,267.05,,
Chitrakoot,7502.0,28.64,28.52,7035.0,79.21,78.33,880.0,59.3
Etah,5662.0,22.78,22.62,6669.0,95.38,93.44,670.0,53.06
Etawah,1605.0,5.87,5.71,4623.0,83.91,81.14,745.0,61.27
Farrukhabad,2689.0,10.38,10.01,5486.0,95.09,89.59,1139.0,83.52
Fatehpur,8960.0,34.13,33.98,10678.0,168.99,167.83,1101.0,90.67
Firozabad,14256.0,54.03,53.66,14563.0,172.49,166.55,1462.0,115.68
Gautam Buddha Nagar,12693.0,52.23,52.09,16544.0,193.83,190.46,2472.0,198.66
Ghaziabad,9246.0,34.47,34.28,16961.0,241.14,236.84,3005.0,243.67
Ghazipur,22744.0,90.54,88.84,26263.0,320.39,310.61,1970.0,159.76
Gonda,11931.0,48.49,48.35,11950.0,161.99,160.15,1100.0,89.77
Gorakhpur,46798.0,185.16,184.81,60844.0,610.41,606.33,3347.0,284.41
Hamirpur,9814.0,37.57,37.33,8859.0,94.02,93.3,306.0,23.58
Hapur,7255.0,29.39,29.21,13141.0,147.74,145.48,815.0,64.16
Hardoi,8354.0,33.4,32.38,10746.0,181.21,170.56,2027.0,152.05
Hathras,6623.0,27.33,27.14,10031.0,114.25,112.28,,
Jalaun,6525.0,24.42,24.35,8577.0,114.37,112.67,557.0,42.49
Jaunpur,28273.0,115.56,107.46,32141.0,361.04,346.47,2654.0,201.15
Jhansi,14004.0,52.52,52.1,14753.0,172.75,,,
Kannauj,4768.0,18.09,17.76,9195.0,123.8,119.74,1501.0,105.42
Kanpur Dehat,3332.0,12.67,12.57,5336.0,84.33,82.85,616.0,50.41
Kanpur Nagar,8759.0,33.38,32.99,19549.0,324.49,317.82,3843.0,323.65
Kaushambi,7590.0,27.7,27.61,10094.0,141.85,139.86,734.0,60.38
Kheri,9966.0,39.15,38.73,13738.0,177.52,173.05,1721.0,127.32
Kushi Nagar,23879.0,92.66,92.38,31665.0,325.44,322.09,1219.0,100.01
Lalitpur,3573.0,12.44,12.32,6357.0,79.68,77.71,443.0,33.42
Lucknow,14941.0,57.54,56.87,21324.0,392.58,378.14,5318.0,432.79
Mahoba,3610.0,12.63,12.55,43.4,295.0,,,
Mainpuri,1251.0,4.15,3.98,5951.0,116.39,110.86,1492.0,112.79
Mathura,12518.0,50.32,50.03,16977.0,194.41,,,
Mau,36.23,11455.0,168.45,165.13,1055.0,86.2,82.98,10.0
Meerut,14449.0,61.67,61.44,24842.0,320.28,2984.0,244.16,239.38
Mirzapur,22889.0,88.48,82.6,19992.0,,,,
Moradabad,14092.0,58.77,58.58,1547.0,128.71,126.42,3.85,3.76
Muzaffarnagar,20061.0,83.35,83.09,21548.0,250.31,245.74,1652.0,136.65
Pilibhit,2985.0,12.22,819.0,66.85,64.44,22.0,3.74,3.74
Pratapgarh,9681.0,37.67,37.62,16357.0,217.99,216.9,1079.0,88.91
Prayagraj,27469.0,110.04,109.5,33319.0,,,,
Rae Bareli,10348.0,40.62,40.42,16391.0,261.48,259.32,2208.0,189.46
Rampur,8766.0,37.06,36.89,9958.0,128.74,127.4,801.0,68.29
Saharanpur,36308.0,150.77,150.22,481.83,476.13,1981.0,162.12,157.72
Sambhal,51.01,50.88,8238.0,91.53,90.21,629.0,52.37,51.46
Sant Kabeer Nagar,23.2,23.1,7889.0,104.87,103.19,841.0,69.54,68.12
Shahjahanpur,9137.0,37.23,37.09,11514.0,158.29,157.01,1277.0,107.56
Shamli,5016.0,20.58,20.51,9236.0,90.66,,,
Shravasti,2332.0,9.23,41.94,408.0,30.38,30.21,16.0,2.57
Siddharth Nagar,4602.0,17.67,8256.0,126.55,942.0,77.57,76.66,0.96
Sitapur,15897.0,61.99,61.68,11816.0,155.85,151.23,1409.0,109.48
Sonbhadra,103.15,102.87,16535.0,,,,,
Sultanpur,12343.0,48.82,48.68,14752.0,198.47,197.05,1276.0,110.67
Unnao,4046.0,16.76,16.5,8463.0,126.05,120.73,1354.0,103.19
Varanasi,36467.0,145.35,143.65,3827.0,319.42,306.06,,
