District,target,ach
Chittoor,810.01,47.1
East Godavari,1276.07,26.22
Guntur,2000.0,20.01
Krishna,3300.0,16.05
Kurnool,1180.0,18.04
Prakasam,1600.0,19.93
Spsr Nellore,850.0,33.86
Srikakulam,650.0,14.7
Visakhapatanam,2500.0,19.15
Vizianagaram,754.0,14.0
West Godavari,1400.0,32.91
Y.s.r.,1120.0,23.3
