District,short_term_production_loans,agrl_ter_m_loans,farm_credit,agr_infra,ancillary_activities,total_agrl_advance,msme,others_under_priority,total_priority_sector
Chittoor,10679.91,3926.34,14606.25,14.95,251.0,14872.2,3746.69,2213.09,20831.98
East Godavari,11978.42,9924.96,21903.38,22.58,1172.49,23098.45,7517.28,4019.15,34634.88
Guntur,14244.81,7479.26,21724.07,121.74,1063.7,22909.51,8650.85,4560.66,36121.02
Krishna,11190.64,8408.98,19599.62,26.45,832.25,20458.32,8746.74,6439.23,35644.29
Kurnool,8420.08,3442.33,11862.41,92.58,434.82,12389.81,2947.11,1902.08,17239.0
Prakasam,9300.58,4570.4,13870.98,43.78,283.37,14198.13,3410.54,1910.59,19519.26
Spsr Nellore,6943.68,4293.97,11237.65,14.39,497.17,11749.21,3517.89,2173.08,17440.18
Srikakulam,4693.72,2573.04,7266.76,4.58,182.96,,1324.79,,9985.16
Visakhapatanam,4732.68,2990.4,7723.08,6.54,249.29,7978.91,6769.56,3242.53,17991.0
Vizianagaram,3538.87,1960.27,5499.14,4.42,101.14,5604.7,1802.79,,9415.85
West Godavari,13676.04,5018.12,18694.16,62.14,1274.45,20030.75,5421.15,2661.77,28113.67
Y.s.r.,6104.16,3031.45,9135.61,65.82,228.24,9429.67,2448.35,1695.85,13573.87
