District,cd_ratio,total_deposit,total_advance
Chittoor,10.0,38905.4,26324.31
East Godavari,128.2,46093.43,59093.63
Guntur,7.0,37352.27,46021.22
Krishna,6.0,62237.96,95557.51
Kurnool,13.0,20670.45,23937.39
Prakasam,8.0,19041.01,23991.08
Spsr Nellore,9.0,21683.63,25263.29
Srikakulam,93.32,14156.89,13211.25
Visakhapatanam,200.67,33065.56,66352.7
Vizianagaram,114.04,12115.55,13816.54
West Godavari,145.62,25365.47,36937.67
Y.s.r.,11.0,19574.29,19667.86
