District,no_of_branches_rural,branch_semi_urban,branch_urban,total_branch
Chittoor,186.0,194.0,,635.0
East Godavari,285.0,237.0,,822.0
Guntur,260.0,287.0,,861.0
Krishna,273.0,113.0,269.0,905.0
Kurnool,135.0,176.0,,484.0
Prakasam,197.0,89.0,,485.0
Spsr Nellore,152.0,135.0,,437.0
Srikakulam,103.0,58.0,,332.0
Visakhapatanam,124.0,44.0,451.0,793.0
Vizianagaram,88.0,77.0,,289.0
West Godavari,267.0,154.0,,646.0
Y.s.r.,125.0,114.0,,377.0
