district,advance,cd_ratio,cd_ratio_as_on_september_2024,cd_ratio_as_on_september_2025,cd_ratio_as_on_september_2025_deposit
Alipurduar,5505.51,64.86,62.14,64.86,8488.22
Bankura,12176.0,57.0,54.71,57.0,21363.0
Birbhum,10938.59,46.68,51.26,46.68,23431.96
Cooch Behar,17596.9,105.4,78.89,105.4,16695.31
Dakshin Dinajpur,4595.66,68.41,67.89,68.41,6717.6
Darjeeling,19644.31,69.13,68.27,69.13,28417.03
Hooghly,27005.91,47.18,45.06,47.18,57241.62
Howrah,30368.17,50.73,49.57,50.73,59859.24
Jalpaiguri,10995.52,77.37,76.2,77.37,14211.63
Jhargram,2570.0,46.56,44.95,46.56,5520.0
Kalimpong,1135.72,51.33,50.14,51.33,2212.72
Kolkata,473671.86,92.82,100.1,92.82,510291.63
Malda,11448.43,59.87,60.13,59.87,19122.4
Murshidabad,18450.42,58.83,57.92,58.83,31362.59
Nadia,18821.16,51.53,51.15,51.53,36521.14
North 24 Parganas,92825.0,48.05,45.58,48.05,193183.0
Paschim Bardhaman,35580.19,54.06,53.7,54.06,65811.78
Paschim Medinipur,20984.24,50.86,48.39,50.86,41259.01
Purba Bardhaman,22707.81,55.4,54.2,55.4,40991.15
Purba Medinipur,23844.82,53.32,52.31,53.32,44716.8
Purulia,2137.0,49.24,50.05,49.24,4275.0
South 24 Parganas,22799.47,45.54,45.54,45.54,50063.74
Uttar Dinajpur,7920.7,72.21,69.5,72.21,10969.65
