district,disbursed_no,pending_no,rejected_no,sanctioned_no,total_application_submitted_no_6_2
Alipurduar,5.0,4.0,4.0,6.0,14.0
Bankura,13.0,28.0,41.0,17.0,86.0
Birbhum,4.0,4.0,6.0,6.0,16.0
Cooch Behar,6.0,4.0,13.0,7.0,24.0
Darjeeling,9.0,2.0,7.0,11.0,20.0
Hooghly,29.0,19.0,52.0,33.0,104.0
Howrah,18.0,36.0,38.0,24.0,98.0
Jalpaiguri,4.0,4.0,19.0,6.0,29.0
Jhargram,4.0,22.0,27.0,6.0,55.0
Kalimpong,2.0,1.0,10.0,3.0,14.0
Kolkata,7.0,7.0,3.0,12.0,22.0
Malda,12.0,18.0,14.0,15.0,47.0
Murshidabad,12.0,49.0,84.0,31.0,
Nadia,16.0,17.0,86.0,19.0,122.0
Paschim Bardhaman,1.0,3.0,1.0,3.0,7.0
Purba Bardhaman,37.0,25.0,40.0,45.0,
Purulia,9.0,8.0,55.0,12.0,75.0
