district,amount,out_of_a_only_approved_by_bank_disbursement_pending_no,out_of_a_only_disbursed_by_bank_no,out_of_a_rejected_no,out_of_a_sanctioned_no,pending_at_bank_level_verified_by_pmu_stcb_no,total_no_of_applications_submitted_to_bank_a
Alipurduar,2.24,4.0,63.0,107.0,67.0,2.0,176.0
Bankura,32.68,66.0,656.0,564.0,722.0,137.0,1423.0
Birbhum,19.55,83.0,430.0,331.0,513.0,91.0,935.0
Cooch Behar,1.23,21.0,140.0,363.0,161.0,6.0,530.0
Dakshin Dinajpur,6.48,11.0,87.0,149.0,98.0,30.0,277.0
Darjeeling,0.49,5.0,32.0,116.0,37.0,3.0,156.0
Hooghly,28.27,46.0,813.0,242.0,859.0,63.0,1164.0
Howrah,10.08,6.0,103.0,74.0,109.0,11.0,194.0
Jalpaiguri,0.87,6.0,87.0,162.0,93.0,11.0,266.0
Jhargram,5.65,12.0,131.0,131.0,143.0,23.0,297.0
Kalimpong,0.0,0.0,12.0,16.0,12.0,0.0,28.0
Kolkata,2.0,1.0,6.0,7.0,7.0,1.0,15.0
Malda,4.68,26.0,186.0,425.0,212.0,17.0,654.0
Murshidabad,6.38,55.0,262.0,984.0,317.0,33.0,1334.0
Nadia,5.76,12.0,73.0,214.0,85.0,8.0,307.0
North 24 Parganas,9.47,22.0,140.0,445.0,162.0,22.0,629.0
Paschim Bardhaman,8.83,20.0,277.0,31.0,297.0,15.0,343.0
Paschim Medinipur,24.46,45.0,724.0,324.0,769.0,84.0,1177.0
Purba Bardhaman,28.82,102.0,1359.0,478.0,1461.0,112.0,2051.0
Purba Medinipur,23.78,17.0,212.0,387.0,229.0,32.0,648.0
Purulia,0.82,10.0,61.0,145.0,71.0,3.0,219.0
South 24 Parganas,4.95,16.0,170.0,209.0,186.0,15.0,410.0
Uttar Dinajpur,16.37,19.0,121.0,228.0,140.0,42.0,410.0
