district,aap_target_for_fy_2025_26,achievement,cumulative_credit_linkage,cumulative_settlement,rseti_wise_achievement_under_aap_2025_26_01_04_2025_to_30_09_2025_sr_no
Bankura,38.0,45.0,57.0,33.0,14.0
Birbhum,38.0,39.0,29.0,38.0,1.0
Cooch Behar,38.0,58.0,99.0,49.0,4.0
Darjeeling,38.0,45.0,82.0,107.0,5.0
Hooghly,38.0,39.0,50.0,52.0,12.0
Howrah,38.0,29.0,58.0,34.0,16.0
Jalpaiguri,38.0,61.0,72.0,65.0,6.0
Malda,38.0,58.0,26.0,46.0,9.0
Nadia,38.0,45.0,71.0,102.0,10.0
North 24 Parganas,38.0,45.0,54.0,71.0,3.0
Purba Bardhaman,38.0,45.0,53.0,71.0,11.0
Purba Medinipur,38.0,29.0,92.0,89.0,7.0
Purulia,38.0,45.0,15.0,31.0,17.0
South 24 Parganas,38.0,55.0,64.0,51.0,18.0
Uttar Dinajpur,38.0,13.0,29.0,95.0,19.0
