district,No. of Aadhaar Seeded,female_a_c,male_a_c,No. of Rupay Card Issued,rural_a_c,sr_no_1,total_a_c,total_deposit_2,total_enrolment_uner_social_security_schemes,total_no_of_apy_5,total_no_of_pmjjby,total_no_of_pmsby,total_no_pmjdy_a_c,urban_a_c,zero_balance_account_2
Alipurduar,747402.0,482518.0,356158.0,658116.0,793072.0,3.0,838676.0,418.66,842972.0,77968.0,242669.0,522335.0,838676.0,45604.0,49255.0
Bankura,2135599.0,1354498.0,1086599.0,1416876.0,2158862.0,4.0,2441097.0,1398.49,2329177.0,250011.0,562442.0,1516724.0,2441097.0,282235.0,142123.0
Birbhum,2209653.0,1430783.0,1072611.0,1508487.0,2366208.0,5.0,2503394.0,1200.62,2767161.0,293989.0,788913.0,1684259.0,2503394.0,137186.0,88608.0
Cooch Behar,1596958.0,1010820.0,791647.0,1392907.0,1715542.0,6.0,1802467.0,585.95,1955804.0,241370.0,504628.0,1209806.0,1802467.0,86925.0,113115.0
Dakshin Dinajpur,,,,,,8.0,,,1208818.0,127642.0,325270.0,755906.0,1300400.0,,
Darjeeling,585428.0,390341.0,271967.0,523177.0,353459.0,7.0,662308.0,445.43,1395856.0,126770.0,414984.0,854102.0,662308.0,308849.0,45617.0
Hooghly,2347998.0,1547384.0,1057188.0,1684261.0,2039145.0,10.0,2604572.0,1465.33,3281612.0,394855.0,823170.0,2063587.0,2604572.0,565427.0,117075.0
Howrah,1994611.0,1301845.0,920743.0,1508515.0,1614900.0,11.0,2222588.0,1194.2,2541064.0,284882.0,626901.0,1629281.0,2222588.0,607688.0,81308.0
Jalpaiguri,1318888.0,849748.0,623113.0,1097517.0,1156937.0,12.0,1472861.0,668.42,1951145.0,230211.0,538221.0,1182713.0,1472861.0,315924.0,100956.0
Jhargram,424648.0,282941.0,222655.0,279123.0,501542.0,13.0,505596.0,314.55,601493.0,52425.0,153952.0,395116.0,505596.0,4054.0,25404.0
Kalimpong,52207.0,32980.0,25617.0,45222.0,47853.0,14.0,58597.0,32.06,93206.0,7540.0,28566.0,57100.0,58597.0,10744.0,3427.0
Kolkata,863368.0,577380.0,447770.0,797579.0,8965.0,15.0,1025150.0,488.58,3048769.0,251582.0,646589.0,2150598.0,1025150.0,1016185.0,107521.0
Malda,3285823.0,2100428.0,1588137.0,2088202.0,3559202.0,16.0,3688565.0,1431.18,2833281.0,359587.0,739430.0,1734264.0,3688565.0,129363.0,312639.0
Murshidabad,4481693.0,2855350.0,2237567.0,3596255.0,4893591.0,19.0,5092917.0,1895.7,4940373.0,603286.0,1248826.0,3088261.0,5092917.0,199326.0,356754.0
Nadia,2911019.0,1935592.0,1445022.0,2255158.0,2755474.0,20.0,3380614.0,1582.85,3259314.0,374437.0,797452.0,2087425.0,3380614.0,625140.0,225194.0
Paschim Bardhaman,1353315.0,1020454.0,545671.0,819127.0,923424.0,21.0,1566125.0,634.83,1980070.0,87309.0,519360.0,1373401.0,1566125.0,642701.0,81133.0
Paschim Medinipur,,,,,,18.0,,,2853159.0,352275.0,677561.0,1823323.0,2821544.0,,
Purba Bardhaman,2151532.0,1445012.0,995540.0,1811200.0,2169896.0,22.0,2440552.0,1138.37,2565534.0,381636.0,720546.0,1463352.0,2440552.0,270656.0,90007.0
Purba Medinipur,,,,,,17.0,,,3062469.0,454531.0,714828.0,1893110.0,2752409.0,,
Purulia,1950754.0,1213165.0,990910.0,1348222.0,1935821.0,23.0,2204075.0,1348.74,1687187.0,183026.0,426089.0,1078072.0,2204075.0,268254.0,140686.0
Uttar Dinajpur,,,,,,9.0,,,1838037.0,209552.0,479572.0,1148913.0,2937823.0,,
