district,amt,amt_in_cr,average_disbursement_in_lakh,of_achievement_no,target_fy_2025_26_no,total_disbursement_no,total_outsanding_no,total_sanction_no
Alipurduar,38.39,799.74,2.05,56.22,25454.0,14311.0,25020.0,8604.0
Bankura,35.97,1424.07,1.92,58.21,58226.0,33896.0,62058.0,13554.0
Birbhum,41.93,1702.49,3.12,40.33,63945.0,25786.0,69343.0,20581.0
Cooch Behar,39.66,2034.57,2.15,55.4,53915.0,29870.0,57741.0,19496.0
Dakshin Dinajpur,46.67,667.57,1.67,83.88,23524.0,19732.0,28245.0,5775.0
Darjeeling,72.77,305.54,3.09,103.96,5024.0,5223.0,8319.0,3015.0
Hooghly,47.74,1519.5,2.36,92.62,37582.0,34807.0,53888.0,19267.0
Howrah,42.78,1015.48,2.46,52.2,38810.0,20260.0,39438.0,12691.0
Jalpaiguri,35.98,1046.89,1.89,57.09,33523.0,19137.0,39400.0,10923.0
Jhargram,38.38,538.79,2.09,55.2,21400.0,11813.0,20022.0,12033.0
Kalimpong,70.46,140.48,3.43,87.27,2443.0,2132.0,3562.0,1200.0
Kolkata,0.0,40.59,1.6,0.0,,702.0,3646.0,
Malda,39.33,1650.02,1.65,71.55,61359.0,43900.0,65888.0,26421.0
Murshidabad,33.45,1954.46,1.71,64.35,83563.0,53775.0,88503.0,22733.0
Nadia,36.54,1655.63,1.9,57.66,70285.0,40527.0,67504.0,10392.0
North 24 Parganas,47.33,2111.32,1.88,75.68,70671.0,53486.0,84099.0,21177.0
Paschim Bardhaman,39.18,291.76,2.6,45.2,,5494.0,12844.0,4274.0
Paschim Medinipur,73.17,2491.96,3.08,88.89,51603.0,45870.0,69950.0,26975.0
Purba Bardhaman,44.63,1854.84,3.01,47.56,63180.0,30046.0,69648.0,19080.0
Purba Medinipur,84.09,3457.23,3.78,66.79,72818.0,48632.0,84048.0,22574.0
Purulia,25.44,787.77,1.37,63.3,37509.0,23744.0,43206.0,7897.0
South 24 Parganas,53.5,2316.14,2.33,86.01,70019.0,60223.0,91295.0,16205.0
Uttar Dinajpur,50.82,1222.8,1.77,115.69,29377.0,33987.0,49362.0,13152.0
