district,total_enrolment_uner_social_security_schemes,total_no_of_apy,total_no_of_pmjjby,total_no_of_pmsby,total_no_pmjdy_a_c
Alipurduar,842972.0,77968.0,242669.0,522335.0,838676.0
Bankura,2329177.0,250011.0,562442.0,1516724.0,2441097.0
Birbhum,2767161.0,293989.0,788913.0,1684259.0,2503394.0
Cooch Behar,1955804.0,241370.0,504628.0,1209806.0,1802467.0
Dakshin Dinajpur,1208818.0,127642.0,325270.0,755906.0,1300400.0
Darjeeling,1395856.0,126770.0,414984.0,854102.0,662308.0
Hooghly,3281612.0,394855.0,823170.0,2063587.0,2604572.0
Howrah,2541064.0,284882.0,626901.0,1629281.0,2222588.0
Jalpaiguri,1951145.0,230211.0,538221.0,1182713.0,1472861.0
Jhargram,601493.0,52425.0,153952.0,395116.0,505596.0
Kalimpong,93206.0,7540.0,28566.0,57100.0,58597.0
Kolkata,3048769.0,251582.0,646589.0,2150598.0,1025150.0
Malda,2833281.0,359587.0,739430.0,1734264.0,3688565.0
Murshidabad,4940373.0,603286.0,1248826.0,3088261.0,5092917.0
Nadia,3259314.0,374437.0,797452.0,2087425.0,3380614.0
North 24 Parganas,5264795.0,564827.0,1282427.0,3417541.0,4865561.0
Paschim Bardhaman,1980070.0,87309.0,519360.0,1373401.0,1566125.0
Paschim Medinipur,2853159.0,352275.0,677561.0,1823323.0,2821544.0
Purba Bardhaman,2565534.0,381636.0,720546.0,1463352.0,2440552.0
Purba Medinipur,3062469.0,454531.0,714828.0,1893110.0,2752409.0
Purulia,1687187.0,183026.0,426089.0,1078072.0,2204075.0
South 24 Parganas,4588727.0,489412.0,1055068.0,3044247.0,5539340.0
Uttar Dinajpur,1838037.0,209552.0,479572.0,1148913.0,2937823.0
