district,camps_by_rural_branches_no_of_total_rural_branches,no_of_camps_conducted,no_of_flcs,no_of_participants_attended,special_camps_by_flcs_target,target,target_specific_camps_by_flcs_target
Alipurduar,51.0,163.0,0.0,0.0,0.0,153.0,0.0
Bankura,201.0,618.0,1.0,13617.0,6.0,603.0,15.0
Birbhum,212.0,35.0,1.0,693.0,6.0,636.0,15.0
Cooch Behar,136.0,718.0,1.0,8975.0,6.0,408.0,15.0
Dakshin Dinajpur,78.0,350.0,1.0,8823.0,6.0,234.0,15.0
Darjeeling,73.0,223.0,1.0,54.0,6.0,219.0,15.0
Hooghly,237.0,850.0,1.0,318.0,6.0,711.0,15.0
Howrah,115.0,46.0,1.0,2094.0,6.0,345.0,15.0
Jalpaiguri,79.0,241.0,1.0,252.0,6.0,237.0,15.0
Jhargram,83.0,275.0,1.0,1070.0,6.0,249.0,15.0
Kalimpong,12.0,47.0,1.0,409.0,6.0,36.0,15.0
Kolkata,0.0,0.0,1.0,0.0,6.0,0.0,15.0
Malda,189.0,212.0,1.0,215.0,6.0,567.0,15.0
Murshidabad,341.0,4028.0,1.0,2248.0,6.0,1023.0,15.0
Nadia,195.0,1099.0,1.0,11728.0,6.0,585.0,15.0
North 24 Parganas,324.0,790.0,1.0,207.0,6.0,972.0,15.0
Paschim Bardhaman,122.0,82.0,1.0,3171.0,6.0,366.0,15.0
Paschim Medinipur,250.0,263.0,1.0,376.0,6.0,750.0,15.0
Purba Bardhaman,329.0,1053.0,1.0,818.0,6.0,987.0,15.0
Purba Medinipur,252.0,1484.0,1.0,15779.0,6.0,756.0,15.0
Purulia,129.0,293.0,1.0,232.0,6.0,387.0,15.0
South 24 Parganas,312.0,898.0,1.0,650.0,6.0,936.0,15.0
Uttar Dinajpur,103.0,261.0,1.0,7881.0,6.0,309.0,15.0
