district,aapb_achieved_in_current_fy_2025_26,aapb_target,annual_target,annual_target_achievement_in_current_fy_2025_26,apy_accounts_opened_in_current_fy_2025_26,cumulative_apy_accounts_opened_since_inception,no_of_branches
Alipurduar,86.0,83.0,6230.0,103.0,6429.0,77968.0,75.0
Bankura,85.0,96.0,24880.0,89.0,22157.0,250011.0,260.0
Birbhum,76.0,94.0,26140.0,81.0,21216.0,293989.0,279.0
Cooch Behar,94.0,88.0,19060.0,106.0,20207.0,241370.0,216.0
Dakshin Dinajpur,107.0,91.0,10065.0,118.0,11834.0,127642.0,111.0
Darjeeling,29.0,88.0,22495.0,32.0,7290.0,126770.0,255.0
Hooghly,65.0,90.0,45985.0,72.0,32935.0,394855.0,509.0
Howrah,46.0,90.0,38730.0,51.0,19775.0,284882.0,431.0
Jalpaiguri,81.0,89.0,21180.0,91.0,19302.0,230211.0,238.0
Jhargram,76.0,97.0,6105.0,79.0,4812.0,52425.0,63.0
Kalimpong,12.0,93.0,2150.0,13.0,286.0,7540.0,23.0
Kolkata,14.0,83.0,114700.0,16.0,18741.0,251582.0,1374.0
Malda,128.0,94.0,21175.0,136.0,28857.0,359587.0,226.0
Murshidabad,112.0,93.0,37830.0,120.0,45570.0,603286.0,407.0
Nadia,88.0,89.0,34470.0,99.0,34176.0,374437.0,387.0
North 24 Parganas,49.0,88.0,83350.0,56.0,46673.0,564827.0,944.0
Paschim Bardhaman,33.0,83.0,20095.0,40.0,8013.0,87309.0,243.0
Paschim Medinipur,80.0,91.0,36290.0,88.0,31822.0,352275.0,397.0
Purba Bardhaman,53.0,88.0,49995.0,59.0,29730.0,381636.0,565.0
Purba Medinipur,96.0,88.0,31680.0,108.0,34313.0,454531.0,358.0
Purulia,103.0,95.0,16465.0,109.0,17877.0,183026.0,174.0
South 24 Parganas,77.0,90.0,55140.0,85.0,46687.0,489412.0,610.0
Uttar Dinajpur,118.0,90.0,14070.0,132.0,18552.0,209552.0,157.0
