district,amount,kcc_disbursement_during_01_04_2025_to_30_09_2025_fresh_renewal_no,kcc_outstanding_as_on_30_09_2025_no,of_achievement_no,target_no
Alipurduar,386.53,17761.0,45188.0,46.13,38500.0
Bankura,924.51,52508.0,191949.0,26.52,198000.0
Birbhum,998.32,66087.0,247534.0,27.54,240000.0
Cooch Behar,1185.09,28132.0,193022.0,14.81,190000.0
Dakshin Dinajpur,573.27,34163.0,88620.0,29.71,115000.0
Darjeeling,340.73,4366.0,83778.0,23.6,18500.0
Hooghly,1632.54,132884.0,353944.0,33.64,395000.0
Howrah,1035.8,27558.0,234105.0,29.01,95000.0
Jalpaiguri,833.75,24087.0,94512.0,60.22,40000.0
Jhargram,538.59,13685.0,69902.0,24.88,55000.0
Kalimpong,61.41,1865.0,30505.0,18.65,10000.0
Kolkata,162.72,417.0,3047.0,,0.0
Malda,629.09,48507.0,148870.0,44.1,110000.0
Murshidabad,1166.02,57588.0,239677.0,60.62,95000.0
Nadia,1428.14,47022.0,263511.0,42.75,110000.0
North 24 Parganas,1208.53,79329.0,269145.0,34.49,230000.0
Paschim Bardhaman,695.85,20799.0,166427.0,83.2,25000.0
Paschim Medinipur,1683.61,114149.0,255315.0,46.59,245000.0
Purba Bardhaman,1487.53,93690.0,414169.0,33.46,280000.0
Purba Medinipur,2197.49,371179.0,561273.0,49.49,750000.0
Purulia,823.84,29038.0,137281.0,82.97,35000.0
South 24 Parganas,1057.07,102722.0,201226.0,60.42,170000.0
Uttar Dinajpur,887.73,24951.0,158498.0,45.37,55000.0
