district,achievement,no_of_eligible_operative_ca_a_c,no_of_eligible_operative_sb_a_c,no_of_operative_ca_a_c_covered_with_at_least_one_digital_mode
Alipurduar,89.73,,2455481.0,
Bankura,87.5,,3896740.0,
Birbhum,95.3,,4066081.0,
Cooch Behar,96.67,,3934455.0,
Dakshin Dinajpur,95.21,,2105721.0,
Darjeeling,89.75,,2279786.0,
Hooghly,89.39,145965.0,7191686.0,130480.0
Jalpaiguri,93.73,,3067648.0,
Jhargram,87.0,,1039383.0,
Kalimpong,72.93,5715.0,383573.0,4168.0
Kolkata,89.23,550250.0,9123768.0,491012.0
Malda,92.39,,4962178.0,
Murshidabad,93.54,112312.0,7687847.0,105059.0
Paschim Bardhaman,91.13,,3286369.0,
Paschim Medinipur,91.29,,5515746.0,
Purba Bardhaman,91.9,,4997549.0,
Purba Medinipur,83.21,112520.0,3980819.0,
Purulia,90.78,,3066946.0,
Uttar Dinajpur,94.2,,3638771.0,
