district,number_of_claims_settled_for_claim_amounts_less_than_rs_1_00_000,number_of_claims_settled_for_claim_amounts_of_rs_1_00_000_or_more,settled_amount_for_claim_amounts_less_than_rs_1_00_000,settled_amount_for_claim_amounts_of_rs_1_00_000_or_more
Alipurduar,1.0,2.0,93848.0,2146280.0
Bankura,353.0,11.0,2427485.0,3678955.0
Birbhum,371.0,23.0,4284886.41,7061262.48
Dakshin Dinajpur,1.0,6.0,67000.0,225000.0
Darjeeling,8.0,0.0,86220.0,0.0
Hooghly,660.0,28.0,3123533.25,7141373.89
Jalpaiguri,121.0,2.0,2990000.0,2057000.0
Kalimpong,46.0,2.0,527948.0,351124.0
Malda,0.0,1.0,0.0,200000.0
Murshidabad,30.0,4.0,86230.0,435099.0
Nadia,41.0,4.0,936786.66,524742.0
North 24 Parganas,344.0,76.0,5061372.0,14755614.0
Paschim Medinipur,4.0,2.0,287580.0,1464703.0
Purba Bardhaman,442.0,25.0,3121708.23,11039742.29
Purba Medinipur,502.0,24.0,3778602.0,14669609.0
South 24 Parganas,1.0,0.0,5588.09,0.0
Uttar Dinajpur,4.0,0.0,344859.43,0.0
