district,achiev,agriculture_target,msme_target,of_achiev,ops_target,total_prisec_target
Alipurduar,1638.73,2017.0,1322.0,43.56,423.0,3762.0
Bankura,2791.05,3405.0,2463.0,43.32,575.0,6443.0
Birbhum,4183.41,3823.0,4437.0,41.9,1725.0,9985.0
Cooch Behar,3249.26,5143.0,2630.0,37.78,828.0,8601.0
Dakshin Dinajpur,1962.46,1736.0,1394.0,54.8,451.0,3581.0
Darjeeling,7496.01,2501.0,7602.0,68.57,829.0,10932.0
Hooghly,7739.42,8555.0,7212.0,44.18,1751.0,17518.0
Howrah,9748.52,2514.0,11336.0,59.18,2624.0,16474.0
Jalpaiguri,3926.47,3388.0,4203.0,46.33,884.0,8475.0
Jhargram,764.42,1059.0,631.0,39.59,241.0,1931.0
Kalimpong,256.41,484.0,329.0,27.6,116.0,929.0
Kolkata,93649.9,13684.0,96729.0,78.57,8781.0,119194.0
Malda,4560.14,3464.0,4096.0,52.51,1124.0,8684.0
Murshidabad,6355.59,5431.0,6635.0,45.26,1977.0,14043.0
Nadia,4888.73,5508.0,4730.0,40.77,1752.0,11990.0
North 24 Parganas,15330.92,6242.0,17320.0,56.46,3593.0,27155.0
Paschim Bardhaman,8216.83,1848.0,10021.0,62.61,1254.0,13123.0
Purba Bardhaman,7720.72,9330.0,4801.0,49.93,1333.0,15464.0
Purba Medinipur,7320.34,8482.0,7177.0,42.07,1742.0,17401.0
Purulia,2199.67,1321.0,2145.0,56.85,403.0,3869.0
South 24 Parganas,6379.07,6578.0,6532.0,42.51,1897.0,15007.0
Uttar Dinajpur,3539.0,3033.0,2572.0,54.2,925.0,6530.0
