district,1_year_above_no,6_month_to_below1_year_no,above_60_days_to_below_6_months_no,amt,below_60_days_no,total_pending_no
Alipurduar,2.0,8.0,1.0,41.09,0.0,11.0
Bankura,21.0,14.0,3.0,14.76,6.0,44.0
Birbhum,52.0,20.0,6.0,27.94,19.0,97.0
Cooch Behar,40.0,23.0,10.0,29.87,4.0,77.0
Dakshin Dinajpur,46.0,32.0,5.0,20.0,2.0,85.0
Darjeeling,26.0,22.0,4.0,64.46,10.0,62.0
Hooghly,116.0,65.0,18.0,73.43,30.0,229.0
Howrah,117.0,91.0,40.0,139.23,46.0,294.0
Jalpaiguri,15.0,10.0,6.0,17.75,7.0,38.0
Jhargram,4.0,1.0,2.0,1.18,2.0,9.0
Kalimpong,10.0,0.0,39.0,7.23,4.0,53.0
Kolkata,112.0,122.0,29.0,200.47,79.0,342.0
Malda,49.0,10.0,12.0,37.3,6.0,77.0
Murshidabad,39.0,30.0,10.0,42.8,8.0,87.0
Nadia,78.0,57.0,12.0,47.79,31.0,178.0
North 24 Parganas,154.0,127.0,96.0,256.37,73.0,450.0
Paschim Bardhaman,63.0,59.0,37.0,114.48,6.0,165.0
Paschim Medinipur,62.0,32.0,30.0,46.09,2.0,126.0
Purba Bardhaman,62.0,63.0,36.0,133.8,8.0,169.0
Purba Medinipur,72.0,23.0,14.0,46.3,5.0,114.0
Purulia,22.0,22.0,12.0,13.02,2.0,58.0
South 24 Parganas,205.0,108.0,59.0,220.01,42.0,414.0
Uttar Dinajpur,41.0,11.0,15.0,14.09,0.0,67.0
