district,sr,no_of_branch,total_deposit,total_advances,c_d_ratio_pct,total_deposite
Almora,8,152,730000,187500,26,636900
Bageshwar,9,56,224500,51700,23,204900
Chamoli,6,101,447000,281600,63,369000
Champawat,11,65,266000,95300,36,250800
Dehradun,1,582,7663800,2840100,37,6325500
Haridwar,3,288,2564600,1724800,67,2455700
Nainital,12,264,2158400,1069800,50,1950600
Pauri Garhwal,5,207,1060600,279200,26,983300
Pithoragarh,10,109,525100,227900,43,502600
Rudraprayag,7,54,257500,70200,27,236000
Tehri Garhwal,4,145,638800,219500,34,607900
Udham Singh Nagar,13,344,1870000,1929700,103,1771900
Uttarkashi,2,69,258300,126800,49,241800
