district,total_no_of_shg,out_of_1_no_of_shgs_credit_linkage,average_ticket_size_of_shg_loan_o_s_total_credit_o_s_of_shg_no_of_credit_linked_shgs,total_no_of_jlg,loan_o_s_to_jlgs,average_ticket_size_of_jlg_loan_o_s_total_credit_o_s_of_jlg_no_of_jlgs,no_of_beneficiaries_i_male,no_of_beneficiaries_i_female,out_of_i_no_of_bank_credit_linked_ii_male,out_of_i_no_of_bank_credit_linked_ii_female
Almora,4895,3005,113000,317,1.33,41956,89,96,0,0
Bageshwar,3385,1991,112000,36,0.24,66666,0,0,0,0
Chamoli,4076,2805,123000,33,0.33,100000,21,86,2,4
Champawat,3125,1890,97000,384,6.04,157291,0,0,0,0
Dehradun,3970,2431,121000,30080,103.48,34402,6674,7732,0,0
Haridwar,3560,2429,129000,62605,237.23,37893,0,0,0,0
Nainital,1825,1120,120000,12070,50.35,41715,0,0,0,0
Pauri Garhwal,6125,3875,93000,1749,8.36,47798,132,102,6,5
Pithoragarh,4125,2590,95000,151,0.62,41060,512,622,0,0
Rudraprayag,1324,910,100000,9,0.02,22222,23,149,17,135
Tehri Garhwal,5643,3752,91000,507,9,177514,0,0,0,0
Udham Singh Nagar,3385,2420,115000,42582,136.81,32129,3899,3812,195,230
Uttarkashi,3342,2342,118000,107,0.97,90654,0,0,0,0
