district,no_of_beneficiaries_i_male,no_of_beneficiaries_i_female,out_of_i_no_of_bank_credit_linked_ii_male,out_of_i_no_of_bank_credit_linked_ii_female
Almora,239,251,92,91
Bageshwar,154,261,177,140
Chamoli,1,411,0,186
Champawat,68,296,12,139
Dehradun,10,374,0,34
Haridwar,47,495,0,12
Nainital,43,328,2,142
Pauri Garhwal,59,356,0,193
Pithoragarh,79,320,5,153
Rudraprayag,96,285,57,193
Tehri Garhwal,70,386,0,186
Udham Singh Nagar,8,467,22,97
Uttarkashi,1,337,1,154
