district,total_no_of_kcc_issued,total_no_of_kcc_issued_amt_o_s,total_no_of_kcc_issued_to_sf_mf,total_no_of_kcc_issued_to_sf_mf_amt_o_s
Almora,34331,144.21,34331,144.21
Bageshwar,11720,50.74,11720,50.74
Chamoli,20798,72.42,20798,72.42
Champawat,13586,108.34,13586,108.34
Dehradun,49309,501.04,44502,452.19
Haridwar,117386,1513.29,97370,1255.26
Nainital,61504,562.26,52870,499.57
Pauri Garhwal,33382,79.71,33382,79.71
Pithoragarh,32535,211.23,32535,211.23
Rudraprayag,12719,41.64,12719,41.64
Tehri Garhwal,44717,189.05,44717,189.05
Udham Singh Nagar,154481,3372.04,127855,2827.44
Uttarkashi,39107,236.01,39107,236.01
